No	영문컬럼명	타입	길이	컬럼수	코멘트종수	코멘트변형(빈도순)	제안표준한글명	1차판정	판정근거
268	DEL_ID	VARCHAR2	20	3	2	삭제자ID(2) | 삭제아이디(1)	삭제자ID	통일	표기변형/음차/영문누출 차이만
269	DEL_DATE	DATE		3	3	기록물 건 삭제일(1) | 기록물 철 삭제일(1) | 삭제일시(1)	기록물 건 삭제일	분리?	핵심명사 상이: 기록물건삭제일 / 기록물철삭제일 / 삭제일시
270	UPD_DT	DATE		3	3	변경일시(1) | 작업일시(1) | 수정일시(1)	변경일시	통일?	형식단어 동일(일시)·핵심어 차이 — 확인
271	BOOKSIZECD	VARCHAR2	1	3	2	규격코드(2) | 규격코드(RG031)(1)	규격코드	통일	표기변형/음차/영문누출 차이만
272	DATALENGCD	VARCHAR2	2	3	2	내용언어코드(2) | 내용언어코드(RG032)(1)	내용언어코드	통일	표기변형/음차/영문누출 차이만
273	STYLECD	VARCHAR2	2	3	2	유형구분코드(2) | 유형구분코드(RG034)(1)	유형구분코드	통일	표기변형/음차/영문누출 차이만
274	STORELEVEL	VARCHAR2	2	3	2	보존등급(2) | 보존등급(RG040)(1)	보존등급	통일	표기변형/음차/영문누출 차이만
275	READLEVEL	VARCHAR2	2	3	2	열람등급(2) | 열람등급(RG041)(1)	열람등급	통일	표기변형/음차/영문누출 차이만
276	STYLECD2	VARCHAR2	2	3	2	유형구분코드2(2) | 유형구분코드2(RG034)(1)	유형구분코드2	통일	표기변형/음차/영문누출 차이만
277	METHODGUBUN	VARCHAR2	2	3	2	입수구분(2) | 입수방법(RG030)(1)	입수구분	분리?	핵심명사 상이: 입수구분 / 입수방법
278	BTCH_JOB_PROC_STAT_CD	VARCHAR2	2	3	2	일괄작업처리상태코드(ST003)(2) | 일괄작업처리상태코드(01:준비중,10:처리중,20:처리완료,90:처리오류)(1)	일괄작업처리상태코드(ST003)	통일	표기변형/음차/영문누출 차이만
