No	영문컬럼명	타입	길이	컬럼수	코멘트종수	코멘트변형(빈도순)	제안표준한글명	1차판정	판정근거
1	REMARK	VARCHAR2	500	147	2	비고(144) | 표지(2) | [코멘트없음](1)	비고	분리?	핵심명사 상이: 비고 / 표지
2	ARCH_PLACE	VARCHAR2	2	63	10	보존시설(47) | 보존시설(RG052)(4) | 보존시설 : A=서울, B=부산, C=대전, D=성남(3) | 보존시설 (RG052)(2) | 보관장소코드(1) | 보존시설(2023추가)(1) | 보존장소(1) | 장기보존시설(1) | 보존장소(C:대전,B:부산,D:성남)(1) | 건축장소(1) | [코멘트없음](1)	보존시설	분리?	핵심명사 상이: 보존시설 / 보관장소코드 / 보존장소 / 장기보존시설
3	KIKWANCODE	VARCHAR2	10	60	6	처리기관코드(41) | 기관코드(9) | 처리과코드(5) | 인계인수-처리과코드(2) | 검토기관코드(1) | 생산기관코드(1) | [코멘트없음](1)	처리기관코드	통일	코멘트 포함관계(수식어 가감)
4	SCHE_SEQ_NO	NUMBER	8	50	3	스케줄링일련번호(45) | SCHE순번번호(3) | 스케줄링번호(2)	스케줄링일련번호	분리?	핵심명사 상이: 스케줄링일련번호 / 스케줄링번호
5	DOCTYPE	VARCHAR2	1	38	8	기록물형태(19) | 기록물형태_RG001(A:문서대장 , B도면, C사진/필름, D녹음/동영상, E카드, G국무회의록)(4) | 기록물형태(RG001)(4) | 기록물형태 (RG001 - M:정부간행물, O:일반도서, P:총독부간행물)(2) | 기록물구분코드(RG001)(2) | 기록물유형(2) | 기록물형태(일반, 도면등)(2) | 문서유형(1) | [코멘트없음](2)	기록물형태	분리?	핵심명사 상이: 기록물형태 / 기록물구분코드 / 문서유형
6	SEQ_NO	NUMBER	8	31	3	일련번호(23) | 순번번호(7) | 순번(1)	일련번호	통일	표기변형/음차/영문누출 차이만
7	ADD_FILE_ID	VARCHAR2	32	31	2	추가파일아이디(17) | 첨부파일ID(14)	추가파일아이디	통일?	형식단어 동일(ID)·핵심어 차이 — 확인
8	UNI_ORG_COD	VARCHAR2	10	30	3	통합기관코드(28) | 자체관리통합기관코드 변경이력(1) | 기관코드(1)	통합기관코드	통일	코멘트 포함관계(수식어 가감)
9	DHOUSECODE	VARCHAR2	10	30	3	자료관코드(24) | 기관코드(3) | 접수기관(2) | [코멘트없음](1)	자료관코드	분리?	핵심명사 상이: 자료관코드 / 기관코드 / 접수기관
10	PRODYEAR	VARCHAR2	4	29	3	생산년도(23) | 생산시작년도(3) | 연도(2) | [코멘트없음](1)	생산년도	분리?	핵심명사 상이: 생산년도 / 생산시작년도 / 연도
11	USR_ID	VARCHAR2	20	26	5	사용자ID(20) | 유저아이디(3) | 발행자ID(1) | 사용자(1) | ID(1)	사용자ID	분리?	핵심명사 상이: 유저아이디 / 사용자
12	TRANSYEAR	VARCHAR2	4	22	4	이관년도(16) | 접수년도(4) | 번역년도(1) | 인수년도(1)	이관년도	통일?	형식단어 동일(년도)·핵심어 차이 — 확인
13	MNGNO	VARCHAR2	10	21	3	기록물관리번호(14) | 관리번호(4) | OD보존매체관리번호(1) | [코멘트없음](2)	기록물관리번호	통일	코멘트 포함관계(수식어 가감)
14	SKL_DIV_COD	VARCHAR2	35	21	2	기능분류코드(19) | SKLDIV코드(1) | [코멘트없음](1)	기능분류코드	통일	표기변형/음차/영문누출 차이만
15	RU_NO	VARCHAR2	10	21	2	의뢰서번호(20) | 보존처리의뢰서번호(1)	의뢰서번호	통일	코멘트 포함관계(수식어 가감)
16	RU_DIV	VARCHAR2	2	20	3	의뢰서구분{처리,반출,반입}(11) | 의뢰서구분(6) | 의뢰서구분{처리,반출,반입} 01:정리 02:소독 03:서고 04:반출 05:반입 06:소독반출 07:M/F배치 08:복제M/F배치 09:매체서고 10:보존매체서고 11:서고(이송) 30:장기보존매체서고(3)	의뢰서구분{처리,반출,반입}	통일	코멘트 포함관계(수식어 가감)
17	MBSID	VARCHAR2	12	20	3	이관기본목록SID(16) | 이관철ID(3) | 이관기본목록 SID(1)	이관기본목록SID	통일	표기변형/음차/영문누출 차이만
18	ARID	VARCHAR2	9	19	2	전거레코드ID(17) | ARID(2)	전거레코드ID	통일	표기변형/음차/영문누출 차이만
19	TRANS_NO	VARCHAR2	6	18	4	이관일련번호(12) | 접수번호(4) | 변환번호(1) | 일련번호(1)	이관일련번호	분리?	핵심명사 상이: 이관일련번호 / 접수번호 / 변환번호 / 일련번호
20	DESC_CLASS_ID	VARCHAR2	12	18	3	기술분류ID(13) | 기술CLASS아이디(2) | 기본목록ID(2) | [코멘트없음](1)	기술분류ID	통일?	형식단어 동일(ID)·핵심어 차이 — 확인
21	PROC_COND	VARCHAR2	2	18	3	처리상태(14) | 처리상태(SV100)(2) | 처리상태(01:의뢰 02:보류 03:반출 04:인수 05:반입)(2)	처리상태	통일	표기변형/음차/영문누출 차이만
22	ORGAN_CD	VARCHAR2	10	17	2	조직코드(15) | 기관코드(2)	조직코드	통일?	형식단어 동일(코드)·핵심어 차이 — 확인
23	DOCBUNRYUNO	VARCHAR2	86	17	2	기록물철분류번호(13) | 기록물철 분류번호(2) | [코멘트없음](2)	기록물철분류번호	통일	표기변형/음차/영문누출 차이만
24	ORG_COD	VARCHAR2	7	16	3	처리과코드(7) | 기관코드(5) | ORG코드(4)	처리과코드	통일?	형식단어 동일(코드)·핵심어 차이 — 확인
25	ERRORLIST	VARCHAR2	1000	16	2	오류내역(8) | 오류목록(6) | [코멘트없음](2)	오류내역	분리?	핵심명사 상이: 오류내역 / 오류목록
26	ENDYEAR	VARCHAR2	4	16	3	종료년도(10) | 생산년도(종료년도)(3) | 생산종료년도(2) | [코멘트없음](1)	종료년도	통일?	형식단어 동일(년도)·핵심어 차이 — 확인
27	USE_YN	VARCHAR2	1	15	6	사용여부(6) | 사용여부 (Y: 사용, N: 미사용)(3) | 파일사용여부(2) | 사용여부(Y:사용, N:미사용)(2) | 사용여부(0:현존,1:폐지)(1) | 사용여부(0:사용 1:미사용)(1)	사용여부	통일	코멘트 포함관계(수식어 가감)
28	DOCSID	VARCHAR2	100	15	3	이관철ID(RG)(8) | 이관철ID(6) | 기록물식별자(1)	이관철ID(RG)	통일	표기변형/음차/영문누출 차이만
29	OPN_YN	VARCHAR2	2	15	4	공개구분(9) | 공개구분(1:공개, 2:부분공개, 3:비공개)(3) | 공개구분(US014)(1) | 공개여부(1) | [코멘트없음](1)	공개구분	분리?	핵심명사 상이: 공개구분 / 공개여부
30	KIKAN	VARCHAR2	2	15	5	보존기간(10) | 기간코드(RG002)(1) | 기간코드(RG002)(00:납본(생산현황보고 이전 연도 CAMS에 등록 된 정부간행물 철 수량),  01:1년, 03:3년, 05: 5년, 10:10년, 20:20년, 25:30년, 30:준영구, 40:영구, 99:없음)(1) | 보존기간(RG002)(1) | 보존기간(RG100)(1) | [코멘트없음](1)	보존기간	분리?	핵심명사 상이: 보존기간 / 기간코드
31	ARCAVETYPE	VARCHAR2	2	15	6	기록물구분(01=일반문서,02=시청각,04=총독부,05=정부간행물,06=해외기록물,07=역사기록물,08=행정박물)(4) | 기록물구분(4) | 기록물종류(3) | 아카이브유형(1) | 기록물유형 (01=일반문서,02=시청각,04=총독부,05=정부간행물,06=해외기록물,07=역사기록물,08=행정박물)(1) | 기록물유형(1) | [코멘트없음](1)	기록물구분(01=일반문서,02=시청각,04=총독부,05=정부간행물,06=해외기록물,07=역사기록물,08=행정박물)	분리?	핵심명사 상이: 기록물구분 / 기록물종류 / 아카이브유형
32	ARCHIVE_KEY	VARCHAR2	32	15	4	ALERO 아카이브키(8) | 아카이브키(4) | ALERO아카이브키(2) | ARCHIVE_KEY(1)	ALERO 아카이브키	통일	표기변형/음차/영문누출 차이만
33	DEL_DT	DATE		14	3	삭제일자(7) | 삭제일시(6) | 예비삭제일(1)	삭제일자	분리?	핵심명사 상이: 삭제일자 / 예비삭제일
34	PRODSYSDIV	VARCHAR2	2	14	4	생산시스템구분(RG053)(5) | 시스템구분코드(4) | 생산시스템구분(3) | 시스템구분(1) | [코멘트없음](1)	생산시스템구분(RG053)	통일	코멘트 포함관계(수식어 가감)
35	SBSID	VARCHAR2	12	14	2	생산기본목록SID(10) | 생산기본목록 SID(4)	생산기본목록SID	통일	표기변형/음차/영문누출 차이만
36	DEL_YN	VARCHAR2	1	13	2	삭제여부(9) | 폐지여부(1) | [코멘트없음](3)	삭제여부	통일?	형식단어 동일(여부)·핵심어 차이 — 확인
37	CLSS_ID	VARCHAR2	35	13	3	분류체계ID(9) | 단위업무코드/단위과제ID(2) | 단위업무/단위과제코드(1) | [코멘트없음](1)	분류체계ID	분리?	핵심명사 상이: 분류체계ID / 단위업무코드단위과제ID / 단위업무단위과제코드
38	JEMOK	VARCHAR2	500	13	2	제목(12) | 건제목(1)	제목	통일	코멘트 포함관계(수식어 가감)
39	WONBONGUBUN	VARCHAR2	1	13	2	원본사본여부(10) | 원본구분(1) | [코멘트없음](2)	원본사본여부	분리?	핵심명사 상이: 원본사본여부 / 원본구분
40	POSITION	VARCHAR2	2	13	7	기록물위치(3) | 매체위치(3) | 기록물위치 (RG007)(2) | 매체류위치(1) | DVD위치(1) | M/F위치(1) | 매체위치(04: 초기값, Z6:이송시, 43:서고배치의뢰,Z1:서고배치인수시,ZZ:서고배치)(1) | [코멘트없음](1)	기록물위치	통일?	형식단어 동일(위치)·핵심어 차이 — 확인
41	SKL_REG_YEAR	VARCHAR2	4	12	2	기능등록년도(10) | SKL등록년도(1) | [코멘트없음](1)	기능등록년도	통일	표기변형/음차/영문누출 차이만
42	RGST_DTM	DATE		12	4	등록일(7) | RGST일시(3) | 최초등록일자(1) | 등록자ID(1)	등록일	통일	코멘트 포함관계(수식어 가감)
43	ISOPEN	VARCHAR2	9	12	2	공개구분(7) | 공개구분(1:공개, 2:부분공개, 3:비공개)(4) | [코멘트없음](1)	공개구분	통일	표기변형/음차/영문누출 차이만
44	READ_RANGE	VARCHAR2	2	12	2	열람범위(9) | 접근권한(1) | [코멘트없음](2)	열람범위	분리?	핵심명사 상이: 열람범위 / 접근권한
45	SVC_LST_UPD_DT	DATE		12	2	서비스제목최종수정일자(8) | 최종서비스업데이트일시(2) | [코멘트없음](2)	서비스제목최종수정일자	통일?	형식단어 동일(일시)·핵심어 차이 — 확인
46	SVC_LST_UPDR_ID	VARCHAR2	20	12	2	서비스제목최종수정자ID(8) | 최종서비스업데이트사용자ID(2) | [코멘트없음](2)	서비스제목최종수정자ID	통일?	형식단어 동일(ID)·핵심어 차이 — 확인
47	RFID_USE_YN	VARCHAR2	20	12	2	RFID사용여부(7) | RFID작업유무(5)	RFID사용여부	통일	표기변형/음차/영문누출 차이만
48	HP_SERVICE_YN	VARCHAR2	1	11	3	HP서비스여부(4) | 홈페이지서비스여부(3) | 포탈 홈페이지 서비스제공 대상여부(null, Y: 대상, N: 대상제외)(2) | [코멘트없음](2)	HP서비스여부	통일?	형식단어 동일(여부)·핵심어 차이 — 확인
49	REG_DT	DATE		11	4	등록일시(6) | 등록일(2) | 최종수정일자(2) | 신조어등록일시(1)	등록일시	분리?	핵심명사 상이: 등록일시 / 등록일 / 최종수정일자 / 신조어등록일시
50	ISELECTRONIC	VARCHAR2	1	11	3	전자기록물여부(7) | 전자기록물여부(RG022)(2) | 전자비전자코드(1) | [코멘트없음](1)	전자기록물여부	분리?	핵심명사 상이: 전자기록물여부 / 전자비전자코드
51	ISSERVICE	CHAR	1	11	3	서비스제목적용여부(1:적용)(6) | 서비스제목적용여부(2) | 서비스여부(1) | [코멘트없음](2)	서비스제목적용여부(1:적용)	통일?	형식단어 동일(여부)·핵심어 차이 — 확인
52	BND_TTL	VARCHAR2	750	11	3	기록물철제목(8) | 기록물철 제목(1) | 문서(철)제목(1) | [코멘트없음](1)	기록물철제목	통일?	형식단어 동일(제목)·핵심어 차이 — 확인
53	JOB_END_YN	VARCHAR2	2	11	3	작업완료여부(9) | 작업종료여부(1) | 작업완료여부(01:미처리  02:작업완료 03: 확정(공개재분류))(1)	작업완료여부	분리?	핵심명사 상이: 작업완료여부 / 작업종료여부 / 작업완료여부)
54	CLSS_DIV_ID	VARCHAR2	4	10	2	분류체계구분ID(8) | 분류체계구분(ID)(1) | [코멘트없음](1)	분류체계구분ID	통일	코멘트 포함관계(수식어 가감)
55	CHRG_USER_ID	VARCHAR2	20	10	2	담당자ID(9) | 담당자(1)	담당자ID	통일	표기변형/음차/영문누출 차이만
56	JUMINNO1	VARCHAR2	12	10	3	주민번호1(5) | 생년월일(2) | 생년월일1(1) | [코멘트없음](2)	주민번호1	분리?	핵심명사 상이: 주민번호 / 생년월일
57	APPENDSID	VARCHAR2	6	10	3	첨부파일일련번호(8) | 첨부일련번호(1) | 첨부파일련번호(1)	첨부파일일련번호	통일?	형식단어 동일(일련번호)·핵심어 차이 — 확인
58	INSUDATE	VARCHAR2	8	10	2	인수일자(8) | 이관일자(1) | [코멘트없음](1)	인수일자	통일?	형식단어 동일(일시)·핵심어 차이 — 확인
59	PRODREGNO	VARCHAR2	35	10	2	생산등록번호(7) | 생산(접수)등록번호(2) | [코멘트없음](1)	생산등록번호	통일	표기변형/음차/영문누출 차이만
60	DAMDANG	VARCHAR2	1000	10	3	기안자(업무담당자)(4) | 업무담당자(3) | 해외기록물_담당자(1) | [코멘트없음](2)	기안자(업무담당자)	분리?	핵심명사 상이: 기안자 / 업무담당자 / 해외기록물담당자
61	TUKSUKIROK	VARCHAR2	6	10	2	특수기록물(8) | 특수기록물유형(1) | [코멘트없음](1)	특수기록물	통일	코멘트 포함관계(수식어 가감)
62	SDATE	VARCHAR2	8	10	3	시작일자(6) | 인계인수일자(2) | 인수인계일자(1) | [코멘트없음](1)	시작일자	통일?	형식단어 동일(일시)·핵심어 차이 — 확인
63	SECU_CLSS_CD	VARCHAR2	2	10	2	보안분류코드(5) | 보안분류코드(RM정보->01:일반, 02:대외비, 03:3급비밀,  04:2급비밀, 05:1급비밀)(3) | [코멘트없음](2)	보안분류코드	통일	표기변형/음차/영문누출 차이만
64	SECU_CLSS_RSN	VARCHAR2	200	10	2	보안분류사유(5) | 보안분류사유(RM정보)(3) | [코멘트없음](2)	보안분류사유	통일	표기변형/음차/영문누출 차이만
65	CHECKER_ID	VARCHAR2	20	10	5	검수담당자ID(3) | 검수자ID(3) | 확인자아이디(1) | 건1차검수담당자ID(1) | 철1차검수담당자ID(1) | [코멘트없음](1)	검수담당자ID	통일?	형식단어 동일(ID)·핵심어 차이 — 확인
66	DOCYEARNO	VARCHAR2	35	10	2	기록물철등록일련번호(6) | 기록물철등록일련번호/단위과제카드ID(3) | [코멘트없음](1)	기록물철등록일련번호	통일	코멘트 포함관계(수식어 가감)
67	ORGTYPE	VARCHAR2	2	10	6	기록물유형(RG008: Z=파일(사진/필름류) 추가(4) | 원본매체(1) | 기록물 유형(1) | 기록물유형(1) | 매체유형(RG079)(1) | OGR유형(1) | [코멘트없음](1)	기록물유형(RG008: Z=파일(사진/필름류) 추가	분리?	핵심명사 상이: 기록물유형추가 / 원본매체 / 기록물유형 / 매체유형
68	CONDPAR_DT	DATE		10	2	상태평가일자(9) | 상태검사(점검)일시(1)	상태평가일자	통일?	형식단어 동일(일시)·핵심어 차이 — 확인
69	PAPER_DIV	VARCHAR2	2	10	4	복원처리서구분(7) | 페이퍼DIV(1) | 복제구분(1) | 복원처리서구분(SV088)(1)	복원처리서구분	통일?	형식단어 동일(구분)·핵심어 차이 — 확인
70	RGST_ADMIN_ID	VARCHAR2	20	9	3	등록자ID(7) | RGST운영아이디(1) | 최초등록자ID(1)	등록자ID	통일	표기변형/음차/영문누출 차이만
71	DOCQTY	NUMBER	5	9	3	권수(4) | 권수(행정박물-점수, 시청각-수량)(3) | 수량(1) | [코멘트없음](1)	권수	분리?	핵심명사 상이: 권수 / 수량
72	PM_MNG_NO	VARCHAR2	12	9	3	보존매체관리번호(4) | 장기보존매체관리번호(4) | 장기보존매체관리번호(N + 일련번호9자리 + -D:성남,-C:대전,-B:부산)(1)	보존매체관리번호	통일	코멘트 포함관계(수식어 가감)
73	REGGUBUN	VARCHAR2	1	9	4	등록구분(4) | 기록물유형(2) | 기록물유형코드(1) | 등록구분(RG059)(1) | [코멘트없음](1)	등록구분	분리?	핵심명사 상이: 등록구분 / 기록물유형 / 기록물유형코드
74	BUNRYUNO	VARCHAR2	86	9	3	기록물건등록번호(5) | 기록물건분류번호(2) | 기록물철분류번호(1) | [코멘트없음](1)	기록물건등록번호	통일?	형식단어 동일(번호)·핵심어 차이 — 확인
75	RECORD_CENTER_FLAG	VARCHAR2	2	9	2	영구보존포맷변환여부(6) | 레코드중앙FLAG(1) | [코멘트없음](2)	영구보존포맷변환여부	통일	표기변형/음차/영문누출 차이만
76	CLSS_NM	VARCHAR2	200	9	2	분류체계명(7) | 기록물명(1) | [코멘트없음](1)	분류체계명	통일?	형식단어 동일(명)·핵심어 차이 — 확인
77	REG_SEQ_NO	VARCHAR2	10	9	2	등록일련번호(5) | 구술기록등록일련번호(3) | [코멘트없음](1)	등록일련번호	통일	코멘트 포함관계(수식어 가감)
78	SREPORT_STS_BTCH_JOB_ID	VARCHAR2	26	9	2	생산현황통계일괄작업ID(8) | 생산현황통계일괄작업ID(접수년도 + 접수통계유형 + 요청일자(타임스탬프))PK(1)	생산현황통계일괄작업ID	통일	코멘트 포함관계(수식어 가감)
79	ERR_DIV	VARCHAR2	2	9	2	이상여부(5) | 이상유무(4)	이상여부	통일	표기변형/음차/영문누출 차이만
80	CHECK_CONTS	VARCHAR2	250	9	3	조치내용(6) | 조치사항(2) | 조치결과(1)	조치내용	분리?	핵심명사 상이: 조치내용 / 조치사항 / 조치결과
81	COUT_YN	VARCHAR2	2	9	2	반출의뢰여부(8) | COUT여부(1)	반출의뢰여부	통일	표기변형/음차/영문누출 차이만
82	ERROR_YN	VARCHAR2	1	8	3	에러유무(4) | 기록물점검오류여부(2) | 불량태그여부(1) | [코멘트없음](1)	에러유무	통일?	형식단어 동일(여부)·핵심어 차이 — 확인
83	FILE_DIV	VARCHAR2	2	8	4	전송파일데이터구분(4) | 기록물 형태(2) | 접수파일구분(1) | 파일구분(1)	전송파일데이터구분	분리?	핵심명사 상이: 전송파일데이터구분 / 기록물형태 / 접수파일구분 / 파일구분
84	SKL_DIV_NM	VARCHAR2	250	8	2	기능분류명(6) | SKLDIV명(1) | [코멘트없음](1)	기능분류명	통일	표기변형/음차/영문누출 차이만
85	UNDERTK_USR_ID	VARCHAR2	20	8	3	기록물인수자ID(6) | 인수자 아이디(1) | 인수자ID(1)	기록물인수자ID	통일	코멘트 포함관계(수식어 가감)
86	MEDIA_SEQNO	NUMBER	8	8	3	매체등록일련번호(5) | 이관매체등록일련번호(2) | 미디어SEQ번호(1)	매체등록일련번호	분리?	핵심명사 상이: 매체등록일련번호 / 이관매체등록일련번호 / 미디어SEQ번호
87	ISERROR	VARCHAR2	1	8	3	오류여부(4) | 보존분류오류여부(2) | 육안검수오류코드(Y:오류,N:정상,I:미확인)(1) | [코멘트없음](1)	오류여부	분리?	핵심명사 상이: 오류여부 / 보존분류오류여부 / 육안검수오류코드
88	SPAGE	NUMBER	6	8	3	페이지시작(5) | 작업시작페이지(1) | 공간(1) | [코멘트없음](1)	페이지시작	분리?	핵심명사 상이: 페이지시작 / 작업시작페이지 / 공간
89	EPAGE	NUMBER	6	8	3	페이지끝(5) | 작업끝페이지(1) | 페이지(1) | [코멘트없음](1)	페이지끝	통일	코멘트 포함관계(수식어 가감)
90	UPDATEDATE	DATE		8	2	변경일자(6) | 수정일자(2)	변경일자	통일?	형식단어 동일(일시)·핵심어 차이 — 확인
91	METHOD	VARCHAR2	1	8	2	보존방법(4) | 보존방법(1:병행보존 2:매체보존 3:원본보존)(3) | [코멘트없음](1)	보존방법	통일	표기변형/음차/영문누출 차이만
92	PLACE	VARCHAR2	1	8	2	보존장소(4) | 보존장소(1:자료관, 2:전문관리기관)(3) | [코멘트없음](1)	보존장소	통일	표기변형/음차/영문누출 차이만
93	ERRORTUKSU	VARCHAR2	1	8	3	특수목록오류여부(4) | 특수목록에러여부(2) | 오류특수(1) | [코멘트없음](1)	특수목록오류여부	분리?	핵심명사 상이: 특수목록오류여부 / 특수목록에러여부 / 오류특수
94	REC_DIV	VARCHAR2	2	8	4	접수구분(4) | 보존매체수록유형(01:MF, 02:SCAN, 03:MF+SCAN, 04:원본)(2) | 보존매체수록유형(1) | 레코딩구분(1)	접수구분	분리?	핵심명사 상이: 접수구분 / 보존매체수록유형 / 레코딩구분
95	INSPEC_DT	DATE		8	2	조사일자(7) | 검사일시(1)	조사일자	통일?	형식단어 동일(일시)·핵심어 차이 — 확인
96	REQ_NO	VARCHAR2	10	8	4	복원의뢰서번호(4) | 보존처리의뢰서번호(2) | 소요번호(1) | 요청번호(1)	복원의뢰서번호	통일?	형식단어 동일(번호)·핵심어 차이 — 확인
97	DEPO_PLACE	VARCHAR2	2	8	2	보관장소(6) | 보관장소(SV019)(2)	보관장소	통일	표기변형/음차/영문누출 차이만
98	OD_SEQNO	NUMBER	8	8	2	매체등록일련번호(7) | OD매체등록일련번호(1)	매체등록일련번호	통일	코멘트 포함관계(수식어 가감)
99	SCHE_SEQ_NO	NUMBER		7	4	SCHE순번번호(3) | 스케줄링일련번호(2) | 스케줄번호(1) | 스캐줄일련번호(1)	SCHE순번번호	분리?	핵심명사 상이: 스케줄링일련번호 / 스케줄번호 / 스캐줄일련번호
100	ALEROKEY	VARCHAR2	35	7	2	ALEROKEY(4) | 알레로키(2) | [코멘트없음](1)	ALEROKEY	통일	표기변형/음차/영문누출 차이만
101	REPORT_YN	VARCHAR2	1	7	3	통보상태구분(5) | 기록물 신고 여부(1) | 통보상태구분(RG066)( 0:통보전, 2:통보후)(1)	통보상태구분	분리?	핵심명사 상이: 통보상태구분 / 기록물신고여부
102	GRP_STRUC_COD	VARCHAR2	7	7	3	그룹조직코드(4) | 소속부서코드(2) | 발행조직코드(1)	그룹조직코드	통일?	형식단어 동일(코드)·핵심어 차이 — 확인
103	DEL_YN	CHAR	1	7	2	삭제여부(5) | 예비삭제 플래그(1) | [코멘트없음](1)	삭제여부	분리?	핵심명사 상이: 삭제여부 / 예비삭제플래그
104	HIGH_CPDIV_COD	VARCHAR2	35	7	2	상위기능분류코드(5) | 높이CPDIV코드(1) | [코멘트없음](1)	상위기능분류코드	통일	표기변형/음차/영문누출 차이만
105	PERIODCD	VARCHAR2	2	7	2	발간주기코드(6) | 발간주기코드(RG028)(1)	발간주기코드	통일	표기변형/음차/영문누출 차이만
106	OPENLIMIT	VARCHAR2	1000	7	2	공개제한부분표시(6) | 비공개사유(1)	공개제한부분표시	분리?	핵심명사 상이: 공개제한부분표시 / 비공개사유
107	ORGTYPE	VARCHAR2	50	7	2	기록물유형(4) | OGR유형(2) | [코멘트없음](1)	기록물유형	통일	표기변형/음차/영문누출 차이만
108	ISCHECK	VARCHAR2	1	7	2	검사여부(5) | 검수여부(1) | [코멘트없음](1)	검사여부	통일?	형식단어 동일(여부)·핵심어 차이 — 확인
109	ELECFILENO	NUMBER	6	7	2	전자파일갯수(5) | 전자파일개수(1) | [코멘트없음](1)	전자파일갯수	통일?	형식단어 동일(수)·핵심어 차이 — 확인
110	BOKWANBOXNO	VARCHAR2	21	7	3	보관상자번호(4) | 상자번호(1) | 복원박스번호(1) | [코멘트없음](1)	보관상자번호	통일?	형식단어 동일(번호)·핵심어 차이 — 확인
111	OLDKIKWANCODE	VARCHAR2	10	7	2	구기록물처리과코드(5) | 소장기관(1) | [코멘트없음](1)	구기록물처리과코드	분리?	핵심명사 상이: 구기록물처리과코드 / 소장기관
112	INSUYEAR	VARCHAR2	4	7	3	수집년도(3) | 인수년도(2) | 이관년도(1) | [코멘트없음](1)	수집년도	통일?	형식단어 동일(년도)·핵심어 차이 — 확인
113	ERRORBOJON	VARCHAR2	1	7	2	보존분류오류여부(5) | 오류보존(1) | [코멘트없음](1)	보존분류오류여부	분리?	핵심명사 상이: 보존분류오류여부 / 오류보존
114	ERRORETC	VARCHAR2	1	7	2	기타오류여부(5) | 오류기타(1) | [코멘트없음](1)	기타오류여부	분리?	핵심명사 상이: 기타오류여부 / 오류기타
115	BND_TTL	VARCHAR2	500	7	3	기록물철제목(5) | 기록물철 제목(1) | 철제목(1)	기록물철제목	통일	코멘트 포함관계(수식어 가감)
116	TRANS_DT	DATE		7	3	이송일자(4) | 문서보존포맷변환일자(2) | 변환일시(1)	이송일자	통일?	형식단어 동일(일시)·핵심어 차이 — 확인
117	LINE_NO	VARCHAR2	20	7	2	목록라인번호(5) | 라인번호(2)	목록라인번호	통일	코멘트 포함관계(수식어 가감)
118	SEQNO	NUMBER	12	7	3	일련번호(5) | 접수일련번호(1) | 이력순번(1)	일련번호	통일	코멘트 포함관계(수식어 가감)
119	TBSID	VARCHAR2	12	7	2	임시기본목록SID(6) | 임시기록물 철번호(1)	임시기본목록SID	분리?	핵심명사 상이: 임시기본목록SID / 임시기록물철번호
120	STAT	VARCHAR2	2	7	4	매체상태(4) | DVD상태(1) | 스탯(1) | 상태(1)	매체상태	분리?	핵심명사 상이: 매체상태 / 스탯 / 상태
121	RECP_ID	VARCHAR2	32	7	2	접수ID(6) | 수령인아이디(1)	접수ID	통일	표기변형/음차/영문누출 차이만
122	EXAM_SEQ_NO	NUMBER	6	7	4	검토일련번호(3) | 공개검토일련번호(2) | 검토순번(1) | EXAM순번번호(1)	검토일련번호	통일	코멘트 포함관계(수식어 가감)
123	REG_SEQNO	NUMBER	8	7	3	기능어등록일련번호(4) | 색인어등록일련번호(2) | 등록일련번호(1)	기능어등록일련번호	통일	코멘트 포함관계(수식어 가감)
124	FILE_SIZE	NUMBER	10	7	2	파일크기(5) | 파일사이즈(2)	파일크기	통일	표기변형/음차/영문누출 차이만
125	REPLICA_NO	VARCHAR2	12	7	2	M/F복제번호(4) | M/F복제처리서번호(3)	M/F복제번호	통일?	형식단어 동일(번호)·핵심어 차이 — 확인
126	STG_ID	VARCHAR2	10	6	2	스토리지ID(5) | 저장매체 장비ID(1)	스토리지ID	통일?	형식단어 동일(ID)·핵심어 차이 — 확인
127	DISU_YN	VARCHAR2	2	6	2	폐지여부(3) | 폐지여부(0:현존, 1:폐지)(3)	폐지여부	통일	표기변형/음차/영문누출 차이만
128	SEQNO	NUMBER	4	6	4	이력일련번호(3) | 순번(1) | 기능어이력순번(1) | 색인어이력순번(1)	이력일련번호	통일	코멘트 포함관계(수식어 가감)
129	OBJ_ST_DT	VARCHAR2	14	6	2	과제시작일시(4) | 항목ST일시(1) | [코멘트없음](1)	과제시작일시	통일?	형식단어 동일(일시)·핵심어 차이 — 확인
130	OBJ_ED_DT	VARCHAR2	14	6	2	과제종료일시(4) | 항목ED일시(1) | [코멘트없음](1)	과제종료일시	통일?	형식단어 동일(일시)·핵심어 차이 — 확인
131	ORG_NM	VARCHAR2	120	6	5	소속기관명(2) | ORG명(1) | 매체(1) | 기구명(1) | 기관명(1)	소속기관명	분리?	핵심명사 상이: 소속기관명 / 매체 / 기구명 / 기관명
132	USR_NM	VARCHAR2	60	6	2	사용자명(5) | 유저명(1)	사용자명	통일?	형식단어 동일(명)·핵심어 차이 — 확인
133	FROM_YMD	VARCHAR2	8	6	4	출처일자(3) | 기관/단체:생성일, 인명:출생일, 사건:발생일(1) | 생성일(1) | 관계기관생성일(1)	출처일자	분리?	핵심명사 상이: 출처일자 / 기관단체 / 생성일 / 관계기관생성일
134	TO_YMD	VARCHAR2	8	6	4	TO일자(3) | 기관/단체:폐지일, 인명:사망일, 사건:발생일(1) | 폐지일(1) | 관계기관폐지일.(1)	TO일자	분리?	핵심명사 상이: 기관단체 / 폐지일 / 관계기관폐지일
