구분	영문약어	단어명	스키마등장수	비고
매칭	VRFC	검증	1	
매칭	VRMS	VRMS	3	
매칭	VRTC	세로	1	
매칭	WAY	방식	1	
매칭	WDTH	가로	1	
매칭	WORK	근무	3	
매칭	WRT	작성	5	
매칭	WRTH	가치	1	
매칭	WRTR	작성자	4	
매칭	XML	XML	3	
매칭	YEAR	년도	208	
매칭	YMD	일자	247	
매칭	YN	여부	372	
매칭	YR	연도	1	
매칭	YY	년	5	
사전only	AALQ	주류	0	스키마 미사용
사전only	AAR	행정박물실	0	스키마 미사용
사전only	AAS	행정박물서고	0	스키마 미사용
사전only	ABSLT	절대	0	스키마 미사용
사전only	ACBG	학력	0	스키마 미사용
사전only	ACDNT	사고	0	스키마 미사용
사전only	ACE	공기조화설비	0	스키마 미사용
사전only	ACID	산성화	0	스키마 미사용
사전only	ACK	ACK값	0	스키마 미사용
사전only	ACNTG	회계	0	스키마 미사용
사전only	ACNTL	계정과목	0	스키마 미사용
사전only	ACPL	계획서	0	스키마 미사용
사전only	ACPP	인수서	0	스키마 미사용
사전only	ACQS	취득	0	스키마 미사용
사전only	ACRM	인수실	0	스키마 미사용
사전only	ACT	액션	0	스키마 미사용
사전only	ACTL	실제	0	스키마 미사용
사전only	ACTNO	계좌번호	0	스키마 미사용
사전only	ACTRSF	계좌이체	0	스키마 미사용
사전only	ACTVTN	활성	0	스키마 미사용
사전only	ADDRSE	수취인	0	스키마 미사용
사전only	ADDTX	가산세	0	스키마 미사용
사전only	ADMC	행정기관	0	스키마 미사용
사전only	ADMDSP	행정처분	0	스키마 미사용
사전only	ADMDST	행정구역	0	스키마 미사용
사전only	ADRM	시청각기록물작업실	0	스키마 미사용
사전only	ADRPRDC	시청각기록물생산현황	0	스키마 미사용
사전only	ADRPRST	시청각기록물보존현황	0	스키마 미사용
사전only	ADTN	가산	0	스키마 미사용
사전only	AFPR	처리후	0	스키마 미사용
사전only	AGL	기록계층	0	스키마 미사용
사전only	AGNC	대리	0	스키마 미사용
사전only	AGT	대리인	0	스키마 미사용
사전only	AIS	행정정보시스템	0	스키마 미사용
사전only	ALBM	앨범	0	스키마 미사용
사전only	ALCTN	배당	0	스키마 미사용
사전only	ALGR	알고리즘	0	스키마 미사용
사전only	ALK	알칼리	0	스키마 미사용
사전only	ALRO	ALERO	0	스키마 미사용
사전only	AMIG	산전이	0	스키마 미사용
사전only	AMS	영구기록관리시스템	0	스키마 미사용
사전only	AMT	금액	0	스키마 미사용
사전only	ANLS	분석	0	스키마 미사용
사전only	ANS	답변	0	스키마 미사용
사전only	ANSWR	답변자	0	스키마 미사용
사전only	ANX	부속	0	스키마 미사용
사전only	AOCR	토지이동	0	스키마 미사용
사전only	AOS	관인	0	스키마 미사용
사전only	APLD	신청서	0	스키마 미사용
사전only	APNTMN	임용	0	스키마 미사용
사전only	APPD	지정서	0	스키마 미사용
사전only	APRS	신청결과	0	스키마 미사용
사전only	APRVR	결재자	0	스키마 미사용
사전only	APT	아파트	0	스키마 미사용
사전only	APTCPX	공동주택	0	스키마 미사용
사전only	ARC	전거레코드	0	스키마 미사용
사전only	ARCH	건축	0	스키마 미사용
사전only	ARCHIVE_KEY	아카이브키	0	스키마 미사용
사전only	ARCHS	영구기록물관리기관	0	스키마 미사용
사전only	ARMY	군	0	스키마 미사용
사전only	ARVL	도착	0	스키마 미사용
사전only	ASCD	행정표준코드	0	스키마 미사용
사전only	AST	자산	0	스키마 미사용
사전only	ATK	접근토큰	0	스키마 미사용
사전only	ATLFCS	간선시설	0	스키마 미사용
사전only	ATND	참석	0	스키마 미사용
사전only	ATNT	요주의	0	스키마 미사용
사전only	ATPR	참석자	0	스키마 미사용
사전only	ATPT	시도	0	스키마 미사용
사전only	ATTR	속성	0	스키마 미사용
사전only	ATTT	진본성	0	스키마 미사용
