token	freq	sample_cols
CHCK	46	tb_mgbksh.last_chck_year; tb_mgfolder.last_chck_year; tb_rdattachfile.virs_chck_dt
STK	45	tb_adarchivalobj.stk_id; tb_gvrnprdl.stk_id; tb_mgbksh.stk_id
MDTR	45	tb_mgattachfile.virs_mdtr_rslt; tb_rdattachfile.virs_mdtr_yn; tb_rdattachfile.virs_mdtr_file_path
CRT	44	object_taget_data.crt_dt; tb_adarchivalobj.pdst_rpt_file_crt_yn; tb_crfolder.crt_dt
JBGD	43	object_taget_data.autzr_jbps_jbgd_nm; object_taget_data.rgtr_jbps_jbgd_nm; object_taget_data.sret_clgn_user_jbps_jbgd
DLBR	41	object_taget_data.rls_dlbr_prgrs_stts; object_taget_data.dlbr_rslt; object_taget_data.dlbr_term_se
PRGRS	40	object_taget_data.rls_clgn_prgrs_stts; object_taget_data.rls_dlbr_prgrs_stts; object_taget_data.prsl_scpe_clgn_prgrs_stts_cd
GROUP	40	tb_crfolder.group_prsr_pd_cd; tb_dfdscdopnn.group_dsgn_yn; tb_dfrcpttransflist.trnsf_group_seq
RQSTR	40	tb_rcmissingmemo.rqstr_opnn; tb_rdrlsclgnopnnexcel.rqstr_id; tb_rdrecord_restore.rqstr_inst_cd
TTL	39	object_taget_data.crrc_ttl; tb_crdistr.dlry_ttl; tb_crfolderchghist.bfch_ttl
RJCT	39	object_taget_data.rjct_yn; tb_crfolder.rjct_yn; tb_crfolder.rjct_cn
LMT	38	j_attachfile.dwnld_lmt_cnt; object_taget_data.rls_lmt_part; object_taget_data.rls_lmt_dt
DEL	38	j_attachfile.del_yn; tb_dfdscdopnn.elct_file_del_pic_id; tb_dfdscdopnn.elct_file_del_dt
TTLE	38	object_taget_data.orgnl_ttle; object_taget_data.ofcl_ttle; object_taget_data.etc_ttle
MD	37	object_taget_data.md_rmt; tb_crfolder.md_rmt; tb_crrecord.md_rmt
LINK	35	tb_batchworkhist.link_srvr_ipadr; tb_batchworkhist.link_srvr_potno; tb_batchworkqueue.link_srvr_ipadr
ORGNL	34	object_taget_data.orgnl_ttle; object_taget_data.orgnl_mnsc_yn; tb_bkcrrc.orgnl_file_id
DTL	33	object_taget_data.pbrc_dtl_type_cd; tb_adarchivalobj.acptn_dtl; tb_crfolder.fls_dtl_type_cd
DRC	33	object_taget_data.drc_yn; tb_crfolder.drc_yn; tb_crntfctnrecord.drc_yn
STMD	32	object_taget_data.stmd; tb_crfolder.stmd; tb_crrecord.stmd
ACS	32	object_taget_data.acs_se_cd; object_taget_data.acs_stng_rsn; tb_crntfctnrecord.acs_se_cd
SRVR	32	tb_batchworkhist.link_srvr_ipadr; tb_batchworkhist.link_srvr_potno; tb_batchworkqueue.link_srvr_ipadr
PFMR	32	tb_rcmissingmemo.pfmr_type_cd; tb_rcmissingmemo.pfmr_seq; tb_rcmissingmemo.pfmr_id
RMT	31	object_taget_data.md_rmt; tb_crfolder.md_rmt; tb_crrecord.md_rmt
OLD	31	object_taget_data.old_pbrc_prdctn_inst_nm; object_taget_data.old_pbrc_doc_no; object_taget_data.old_pbrc_prsr_pd
MDFCN	31	object_taget_data.mdfcn_ver_no; object_taget_data.mdfcn_yn; tb_crfolder.mdfcn_yn
HOLD	31	tb_adarchivalobj.frst_hold_ecnt; tb_adarchivalobj.now_hold_ecnt; tb_dfrcpttransflist.hold_yn
OPRTR	30	tb_dftransfhist.oprtr_id; tb_mgbkshdpos.oprtr_id; tb_rftemptoti.oprtr_id
PAGE	29	object_taget_data.ritm_bgng_page; object_taget_data.ritm_end_page; tb_gvrnprdl.page_cnt
RMRK	29	tb_adarchivalobj.rmrk; tb_adarchivalobjdscd.rmrk; tb_dfrcpttransflist.rmrk
RPRS	29	tb_crntfctnrcptresult.rprs_inst_cd; tb_crntfctnacptnresult.rprs_inst_cd; tb_dfacptnerror.acptn_rctr_rprs_inst_cd
OFCL	28	object_taget_data.ofcl_ttle; rcfolderlist.ofcl_ttle; tb_crfolder.ofcl_ttle
INFO	28	object_taget_data.spcl_pbrc_info; object_taget_data.spcl_pbrc_info_two; tb_dftransfprcsrcptresult.rcpt_file_info
OPDS	28	tb_dfdscdopnn.opds_stts_idnty_yn; tb_mgfolder.opds_strg_stts_cd; tb_rdfolder.opds_strg_stts_cd
APLCN	28	tb_mgfolder.aplcn_clsf_schm_id; tb_rdattachfile.virs_mdtr_aplcn_yn; tb_rdfolder.aplcn_clsf_schm_id
PSTN	26	object_taget_data.prsr_pstn; object_taget_data.sret_rmv_pbrc_prsr_pstn; tb_adarchivalobj.bksh_pstn
EXPLN	26	tb_adarchivalobj.etc_form_expln; tb_adarchivalobj.etc_qomt_expln; tb_dftransfprcsrcpterror.trnsf_rcpt_err_expln
PART	25	object_taget_data.rls_lmt_part; tb_crrecord.rls_lmt_part; tb_mgfolder.rls_lmt_part
ACPTR	25	tb_adarchivalobj.trnsf_acptr_nm; tb_crdistr.acptr_nm; tb_crreport.acptr_id
SLCTN	25	tb_adarchivalobj.trnsf_slctn_se; tb_adarchivalobj.trnsf_slctn_ymd; tb_dfdscddlbrdoc.dscd_trgt_slctn_se
SPLST	25	tb_adarchivalobjdscd.splst_srng_opnn; tb_dfdscdopnn.splst_dscd_evl_opnn_se_cd; tb_dfdscdopnn.splst_rsrv_pd_cd
FNCT	25	tb_crfolder.fnct_clsf_schm; tb_mgfolder.fnct_clsf_schm; tb_rsrvdoc.unit_task_se_fnct
HSTRY	25	tb_crfolderchghist.chg_hstry_no; tb_crrecordchghist.chg_hstry_no; tb_dfdscdopnnhist.chg_hstry_no
APRV	25	tb_dfrcpttransflist.cfmtn_trnsf_aprv_year; tb_dfrcpttransflist.cfmtn_aprv_ymd; tb_dfrcpttransflist.trnsf_aprv_dmnd_ntfctn_yn
CRTR	25	tb_rsrvdoc.ofdc_prsr_pd_clsf_crtr; tb_streqclgnopnnfdgrp.dmnd_clgn_rvw_opnn_crtr_id; tb_streqclgnopnncrtr.dmnd_clgn_rvw_opnn_crtr_id
FRNS	24	tb_adarchivalobj.frns_yn; tb_adarchivalobj.frns_rsn; tb_adarchivalobj.frns_end_ymd
DPOS	24	tb_mgbkshdpos.bksh_dpos_id; tb_mgbkshdpos.dpos_year; tb_mgbkshdpos.dpos_ymd
OTP	23	object_taget_data.otp_cd; tb_adarchivalobj.otp_cd; tb_crntfctnrecord.otp_cd
DLCN	23	tb_adarchivalobjdscd.evl_dlcn_opnn; tb_dfdscdhist.dlcn_evl_se_cd; tb_dfdscdhist.dlcn_evl_dtl_cd
CARD	23	tb_crfoldertakov.hndv_untk_card_id; tb_crfoldertakov.hndv_untk_card_nm; tb_rdfoldertkov.hndv_untk_card_id
RCPTN	23	tb_rcmissingmemo.rcptn_type; tb_rdrecordcreat.rcptn_type; tb_strecordquery.rcptn_sndpty
AUTZR	22	object_taget_data.autzr_jbps_jbgd_nm; tb_crntfctnrecord.autzr_jbps_jbgd_nm; tb_crrecord.autzr_jbps_jbgd_nm
STNG	22	object_taget_data.acs_stng_rsn; object_taget_data.rls_list_stng_cd; tb_mgfolder.acs_stng_rsn
PRPS	22	tb_crfolder.prdctn_prps; tb_crfolder.prps_clsf_schm; tb_crntfctnfolder.prdctn_prps
CFMTN	22	tb_dfdscdopnn.trdv_rslt_cfmtn_se_cd; tb_dfdscdopnn.dscd_evl_last_rslt_cfmtn_cd; tb_dfrcpttransflist.cfmtn_trnsf_se_cd
MENU	22	tb_rdrlsclgnopnnexcel.menu_id; tb_stcalendar.menu_id; tb_stmenu.menu_id
CRRC	21	object_taget_data.crrc_ttl; tb_bkcrrc.crrc_dt; tb_bkcrrc.crrc_cn
LAST	21	object_taget_data.last_rls_clgn_year; object_taget_data.last_prsl_clgn_year; tb_dfdscdhist.last_dscd_evl_se_cd
SRET	21	object_taget_data.sret_clsf; object_taget_data.sret_prot_pd; object_taget_data.sret_clgn_type_cd
NOELCT	21	object_taget_data.noelct_reg_dt; tb_dforgacptn.noelct_pbrc_acptr_nm; tb_dforgacptn.noelct_pbrc_phnd_nm
BKNO	21	rcfolderlist.bkno; tb_crfolder.bkno; tb_crfolder.tkov_bkno
PHBT	21	tb_dfdscdphbt.dscd_phbt_type; tb_dfdscdphbt.dscd_phbt_day; tb_dfdscdphbt.dscd_phbt_rsn
USE	21	tb_rcmissingmemo.use_yn; tb_rffixreder.use_stts; tb_rftabprint.use_yn
ETC	20	object_taget_data.etc_ttle; tb_adarchivalobj.etc_form_expln; tb_adarchivalobj.etc_qomt_expln
PHND	20	tb_adarchivalobj.trnsf_phnd_nm; tb_crreport.phnd_nm; tb_dforgacptn.drc_phnd_nm
SCNN	19	object_taget_data.scnn_cmptn_yn; object_taget_data.scnn_insp_se_cd; object_taget_data.scnn_err_se_cd
CPCT	19	tb_dftransfstoremst.strg_md_cpct; tb_dftransfstoreprttnlist.prttn_md_cpct; tb_rdattachfile.virs_mdtr_file_cpct
HASH	19	tb_rcmissingmemo.trsm_file_hash; tb_stattachfile.file_hash_vl; tb_stfolderneofile.file_hash_vl
SECU	18	object_taget_data.secu_clsf_cd; object_taget_data.secu_clsf_rsn; tb_crfolder.secu_clsf_cd
SCPE	18	object_taget_data.prsl_scpe; object_taget_data.prsl_scpe_mng_cmptn_yn; object_taget_data.prsl_scpe_clgn_prgrs_stts_cd
VER	18	object_taget_data.mdfcn_ver_no; rms_history.rmst_ver; rms_history.db_ver
DFLP	18	object_taget_data.dflp_cnvr_stts; tb_mgfolder.dflp_cnvr_stts; tb_mgrecord.dflp_cnvr_stts
PLAN	18	object_taget_data.prtn_plan; tb_mgbkshdpos.plan_ymd; tb_rdfolder_noelct.acptn_plan_year
DATA	18	tb_crntfctnrcptresult.trsm_file_data_se; tb_dftransfprcsrcptresult.trsm_file_data_se; tb_mgattachfile.data_rmt_cd
CYCL	18	tb_gvrnprdl.pblc_cycl; tb_mgfolderkwrd.indx_cycl; tb_mgrecordkwrd.indx_cycl
RULE	18	tb_mgfolder.stk_mng_no_grnt_rule; tb_rdfolder.stk_mng_no_grnt_rule; tb_srprsrbox.prsr_box_id_grnt_rule
SHPGOT	18	tb_mgfolder.shpgot_yn; tb_rdfolder.shpgot_yn; tb_rftemptoti.shpgot_yn
PGNO	17	object_taget_data.ritm_pgno; tb_crattachfile.atch_file_pgno; tb_crrecord.ritm_pgno
GRD	17	object_taget_data.rls_grd; tb_adarchivalobj.rls_grd; tb_crntfctnrecord.rls_grd
PHTG	17	object_taget_data.phtg_ymd; object_taget_data.phtg_plc; tb_mgfolder.mf_phtg_stts_cd
REL	17	tb_adarchivalobj.adaf_rel_no; tb_rdattachfile.rel_file_key; tb_rdfolderrel.rel_type_cd
MTHD	17	tb_crfolder.prsr_mthd_alct_cd; tb_dfdscdopnn.dscd_mthd_cd; tb_mgfolder.prsr_mthd_alct_cd
TRSM	17	tb_crntfctnrcptresult.trsm_file_data_se; tb_crntfctnrcptresult.trsm_se; tb_dftransfprcsrcpterror.trsm_se
REVL	17	tb_dfrevlevl.revl_sn; tb_dfrevlhist.revl_sn; tb_dfrevlhist.revl_prcs_stts_cd
VL	17	tb_dftransferrorprcshist.afch_vl; tb_dftransferrorprcshist.bfch_vl; tb_rdrecordcreat.dmnd_stts_doc_vl
CHNRG	16	tb_crfolderchghist.chnrg_nm; tb_crrecordchghist.chnrg_nm; tb_mgfolderchghist.chnrg_nm
BFR	16	tb_crreport.bfr_stts_se_cd; tb_dfdscdhist.reap_bfr_prsr_pd; tb_dfdscdhist.reap_bfr_prsr_pd_rsn
BOX	16	tb_mgbksh.mxmm_acpt_prsr_box_cnt; tb_mgbksh.hold_prsr_box_cnt; tb_mgfolder.prsr_box_id
SMMR	15	object_taget_data.adr_cn_smmr; object_taget_data.ritm_cn_smmr; tb_adarchivalobj.cn_smmr
ENFC	15	object_taget_data.enfc_ymd; object_taget_data.enfc_doc_no; tb_crntfctnrecord.enfc_ymd
TWO	15	object_taget_data.spcl_pbrc_info_two; tb_crspcllist.two_spcl_list; tb_gvrnprdl.dst_rsn_two
ECNT	15	tb_adarchivalobj.frst_hold_ecnt; tb_adarchivalobj.now_hold_ecnt; tb_crfolder.elct_file_ecnt
ELCT	15	tb_crfolder.elct_file_ecnt; tb_dfdscdopnn.elct_file_del_pic_id; tb_dfdscdopnn.elct_file_del_dt
TCNT	15	tb_dfacptnplan.fls_tcnt; tb_dfacptnplan.ritm_tcnt; tb_srmfphtg.rprd_tcnt
EXST	15	tb_mgattachfile.virs_exst_yn; tb_rdattachfile.virs_exst_yn; tb_rdfolder.virs_exst_yn
INFC	15	tb_rdattachfile.virs_infc_cn; tb_storgdfile.virs_infc_cn; tb_storgdfile_cloud.virs_infc_cn
AUTHRT	15	tb_stgrantgrp.authrt_group_cd; tb_stgrantgrp.authrt_group_nm; tb_stgrantgrp.authrt_group_expln
PDC	14	object_taget_data.pdc_rsn; tb_adarchivalobj.pdc_rsn; tb_crrecord.pdc_rsn
NEW	14	object_taget_data.new_pbrc_se_cd; tb_crfolder.new_pbrc_se_cd; tb_crrecord.new_pbrc_se_cd
POTNO	14	tb_batchworkhist.link_srvr_potno; tb_batchworkqueue.link_srvr_potno; tb_batchworkqueuepre.link_srvr_potno
UNTK	14	tb_crfoldertakov.hndv_untk_card_id; tb_crfoldertakov.hndv_untk_card_nm; tb_rdfoldertkov.hndv_untk_card_id
RSRV	14	tb_dfdscdhist.rsrv_dtl_cd; tb_dfdscdopnn.now_rsrv_pd_cd; tb_dfdscdopnn.trdv_rsrv_pd_cd
PRTTN	14	tb_dftransfstorefld.prttn_md_seq; tb_dftransfstorercd.prttn_md_seq; tb_dftransfstoreprttnlist.prttn_md_seq
LGN	14	tb_rcmissingmemo.lgn_id; tb_rddscdphbtappoint.dscd_phbt_dsgn_lgn_id; tb_rddscdphbtappoint.dscd_phbt_rmv_lgn_id
SRCH	14	tb_rdfolder.rls_srch_list_pvsn_yn; tb_rdsrchprslrankng.srch_ymd; tb_rdsrchprslrankng.srch_seq
CRYN	14	tb_rftemptoti.cryn_yn; tb_rftemptoti.cryn_ymd; tb_srcryn.cryn_id
