영문약어	빈도	사전등록	사전단어명	한글후보_단일컬럼	샘플컬럼
OPRTR	30	Y	작업자		tb_dftransfhist.oprtr_id; tb_mgbkshdpos.oprtr_id
PAGE	29	Y	쪽		object_taget_data.ritm_bgng_page; object_taget_data.ritm_end_page
RMRK	29	Y	비고	비고(28)	tb_adarchivalobj.rmrk; tb_adarchivalobjdscd.rmrk
RPRS	29	Y	대표		tb_crntfctnrcptresult.rprs_inst_cd; tb_crntfctnacptnresult.rprs_inst_cd
OFCL	28	Y	공식		object_taget_data.ofcl_ttle; rcfolderlist.ofcl_ttle
INFO	28	Y	정보		object_taget_data.spcl_pbrc_info; object_taget_data.spcl_pbrc_info_two
OPDS	28	Y	광디스크		tb_dfdscdopnn.opds_stts_idnty_yn; tb_mgfolder.opds_strg_stts_cd
APLCN	28	Y	적용		tb_mgfolder.aplcn_clsf_schm_id; tb_rdattachfile.virs_mdtr_aplcn_yn
PSTN	26	Y	위치		object_taget_data.prsr_pstn; object_taget_data.sret_rmv_pbrc_prsr_pstn
EXPLN	26	Y	설명	설명(3)	tb_adarchivalobj.etc_form_expln; tb_adarchivalobj.etc_qomt_expln
PART	25	Y	부분		object_taget_data.rls_lmt_part; tb_crrecord.rls_lmt_part
ACPTR	25	Y	인수자		tb_adarchivalobj.trnsf_acptr_nm; tb_crdistr.acptr_nm
SLCTN	25	Y	선정		tb_adarchivalobj.trnsf_slctn_se; tb_adarchivalobj.trnsf_slctn_ymd
SPLST	25	Y	전문요원		tb_adarchivalobjdscd.splst_srng_opnn; tb_dfdscdopnn.splst_dscd_evl_opnn_se_cd
FNCT	25	Y	기능		tb_crfolder.fnct_clsf_schm; tb_mgfolder.fnct_clsf_schm
HSTRY	25	Y	이력		tb_crfolderchghist.chg_hstry_no; tb_crrecordchghist.chg_hstry_no
APRV	25	Y	승인		tb_dfrcpttransflist.cfmtn_trnsf_aprv_year; tb_dfrcpttransflist.cfmtn_aprv_ymd
CRTR	25	Y	기준		tb_rsrvdoc.ofdc_prsr_pd_clsf_crtr; tb_streqclgnopnnfdgrp.dmnd_clgn_rvw_opnn_crtr_id
FRNS	24	Y	비치		tb_adarchivalobj.frns_yn; tb_adarchivalobj.frns_rsn
DPOS	24	Y	배치		tb_mgbkshdpos.bksh_dpos_id; tb_mgbkshdpos.dpos_year
OTP	23	Y	공개구분	공개구분(1)	object_taget_data.otp_cd; tb_adarchivalobj.otp_cd
DLCN	23	Y	심의회		tb_adarchivalobjdscd.evl_dlcn_opnn; tb_dfdscdhist.dlcn_evl_se_cd
CARD	23	Y	카드		tb_crfoldertakov.hndv_untk_card_id; tb_crfoldertakov.hndv_untk_card_nm
RCPTN	23	Y	수신		tb_rcmissingmemo.rcptn_type; tb_rdrecordcreat.rcptn_type
AUTZR	22	Y	승인자		object_taget_data.autzr_jbps_jbgd_nm; tb_crntfctnrecord.autzr_jbps_jbgd_nm
STNG	22	Y	설정		object_taget_data.acs_stng_rsn; object_taget_data.rls_list_stng_cd
PRPS	22	Y	목적		tb_crfolder.prdctn_prps; tb_crfolder.prps_clsf_schm
CFMTN	22	Y	확정		tb_dfdscdopnn.trdv_rslt_cfmtn_se_cd; tb_dfdscdopnn.dscd_evl_last_rslt_cfmtn_cd
MENU	22	Y	메뉴		tb_rdrlsclgnopnnexcel.menu_id; tb_stcalendar.menu_id
CRRC	21	Y	정정		object_taget_data.crrc_ttl; tb_bkcrrc.crrc_dt
