단어명	영문약어	영문명	형식단어	도메인	표준여부	설명
 어떤 사물이 지니고 있는 의의나 중요성.
간선시설	ATLFCS	Arterial Facilities	N		Y	幹線施設. 도로ㆍ상하수도ㆍ전기시설ㆍ가스시설ㆍ통신시설 및 지역난방시설 등 주택단지 안의 기간
간행물	PRDL	PERIODICAL	N		N	업무수행 과정에서 발간?배포하는 저작물. 수록매체에 제한이 없으며 발간형태에 따라 단행본과
감독	SPVS	SUPERVISION	N		N	監督
 어떤 사람이나 기관이 다른 사람이나 기관을 감시하고 지휘?명령하거나 제재를 가하는 
감독관	SPVR	SUPERVISOR	N		N	監督官 지휘하고 단속하는 직책을 맡은 사람
감면	RDEX	REDUCTION AND EXCEPTION	N		Y	減免
 형벌이나 조세 따위를 감해 주거나 면제함.
[법률정의] (농어촌특별세법) 조세특례제
감사기록	AUDR	AUDIT RECORDS	N		N	기록물의 무결성을 확인하기 위해서 시스템의 주요 변경 사항을 전자서명과 함께 기록한 것
감사증적	AUDT	AUDIT TRAIL	N		N	기록에 대한 모든 처리행위를 추적하여 그것이 정책과 표준을 준수하여 이루어졌음을 확인할 수
감사추적	AUDC	AUDIT CHASE	N		N	기록에 대한 모든 처리행위를 추적
감열지	THP	THERMAL PAPER	N		N	열에 반응하는 특수한 종이. 열을 가한 부분만 검은색 등으로 변색되어 정보를 표현할 수 있
감염	INFC	INFECTION	N		Y	感染
 병원체가 몸에 옮음
갑	THEA	THE A	N		N	차례나 등급을 매길 때 첫째를 이르는 말. 둘 이상의 사물이 있을 때 그중 하나를 가리키는
값	VL	Value	N		Y	어떤 사물의 중요성이나 의의
강목	OLDT	OUTLINE AND DETAILS	N		N	綱目 사물의 대략적인 줄거리와 자세한 조목  예)강목코드
강사	INSTR	Instructor	N		Y	講師. 학교나 학원 따위에서 위촉을 받아 강의를 하는 사람
강제	FORC	FORCING	N		N	强制
 본인의 의사를 무시하고 우격으로 따르게 함
개발	DEV	DEVELOPMENT	N		N	開發
산업이나 경제 따위를 발전하게 함
개별	INDIV	Individual	N		Y	個別. 여럿 중에서 하나씩 따로 나뉘어 있는 상태
개설	ESTBL	Establishment	N		Y	開設. 설비나 제도 따위를 새로 마련하고 그에 관한 일을 시작함
개수	ECNT	EACH COUNT	Y		N	個數
 한 개씩 낱으로 셀 수 있는 물건의 수효.
개시	STRT	Start	N		Y	開始. 행동이나 일 따위를 시작함
개업	OPBIZ	Opening of Business	N		Y	開業. 영업을 처음 시작함
개요	OUTL	OUTLINE	N		N	槪要
간결하게 추려 낸 주요 내용
개월	MTS	MONTHS	N		N	個月 개월
개인식별	PRIDTF	Personal Identification	N		Y	個人識別. 성명을 알 수 없는 사람이나 시체의 신원을 지문, 혈액형, 발자국, 글씨 따위를
개인정보	PRVC	Privacy	N		Y	個人情報. 살아 있는 개인에 관한 정보로서 성명, 주민등록번호 및 영상 등을 통하여 개인을
개정	RVSN	Revision	N		Y	改正. 주로 문서의 내용 따위를 고쳐 바르게 함
개최	HDMT	Hold A Meeting	N		Y	開催. 모임이나 회의 등을 주최하여 엶
개통	OPNG	Opening	N		Y	開通. 길, 다리, 철로, 전화, 전신 따위를 완성하거나 이어 통하게 함
갱신	UPDT	Update	N		Y	更新. 이미 있던 것을 고쳐 새롭게 함
갱지	GRPP	GROUNDWOOD PAPER	N		N	한국산업규격(KS M 7102)으로 정한 3급 인쇄용지. 쇄목(기타)펄프를 주재료로 하고,
거래	DLNG	Dealings	N		Y	去來. 주고 받음 또는 사고 팖
거래처	CNPT	Counterparty	N		Y	去來處. 돈이나 물건 따위를 계속 거래하는 곳
건	DCDT	DOCUMENT DETAIL	N		N	기록물건   예) 건번호, 건연결번호, 건내용정보명
건물	BLDG	Building	N		Y	建物. 사람이 들어 살거나, 일을 하거나, 물건을 넣어 두기 위하여 지은 집을 통틀어 이르
건물번호	BNO	Building Number	Y	건물번호	Y	建物番號. 행정안전부장관이 정하는 기준에 따라 건물(둘 이상의 건물 등이 현실적으로 하나의
건물본번	BMNO	Building Main Number	Y	건물본번	Y	建物本番. 행정안전부장관이 정하는 기준에 따라 건물마다 매긴 번호의 붙임표(-) 앞에 오는
건물부번	BSNO	Building Sub Number	Y	건물부번	Y	建物副番. 행정안전부장관이 정하는 기준에 따라 건물마다 매긴 번호의 붙임표(-) 뒤에 오는
건수	NOCS	The Number Of Cases	Y	수	Y	件數. 사물이나 사건의 가짓수
건의	SGGT	SUGGESTION	N		Y	建議
 개인이나 단체가 의견이나 희망을 내놓음. 또는 그 의견이나 희망.
건축	ARCH	Architecture	N		Y	建築. 집이나 성, 다리 따위의 구조물을 그 목적에 따라 설계하여 흙이나 나무, 돌, 벽돌
건축면적	BDAR	Building Area	Y	면적	Y	建築面積. 건축물 외벽의 중심선으로 둘러싸인 부분의 수평투영면적, 즉 건물의 가장 넓은 바
건축물	BDST	Buildings & Structures	N		Y	建築物. 땅 위에 지은 구조물 중에서 지붕, 기둥, 벽이 있는 건물을 통틀어 이르는 말.
건축물대장	BDRG	Building Register	N		Y	建築物臺帳. 건축물의 소재, 구조, 면적 및 소유자의 주소, 성명 따위를 적은 문서
건폐율	BDCVRT	Building Coverage Ratio	Y	비율	Y	建蔽率. 대지 면적에 대한 건물의 바닥 면적의 비율. 건축 밀도를 나타내는 지표의 하나
검사	INSP	Inspection	N		Y	檢査. 사실이나 일의 상태 또는 물질의 구성 성분 따위를 조사하여 옳고 그름과 낫고 못함을
검사자	INTR	INSPECTOR	N		Y	檢査者 좋고 나쁨 따위의 사실을 살피어 검토하거나 조사하여 판정하는 사람
검색	SRCH	Search	N		Y	檢索. 책이나 컴퓨터에서, 목적에 따라 필요한 자료들을 찾아내는 일
검색도구	FDAD	FINDING AIDS	N		N	기록물관리기관이 소장 기록물의 관리와 검색을 위해서 필요한 정보를 기술한 문헌의 총칭. 대
검색어	SRWD	SEARCH WORD	N		Y	檢索語
 책이나 컴퓨터에서, 안에 들어 있는 자료 가운데 목적에 따라 필요한 자료들을 찾기
검수	IGI	Incoming Goods Inspection	N		Y	檢收. 물건의 규격, 수량, 품질 따위를 검사한 후 물건을 받음
검수자	CHCKR	Checker	N		Y	檢收者. 물건의 규격, 수량, 품질 따위를 검사한 후 물건을 받는 사람
검정	RCGN	Recognition	N		Y	檢定. 일정한 규정에 따라 자격이나 조건을 검사하여 결정하거나 또는 어떤 자격에 필요한 지
검증	VRFC	Verification	N		Y	檢證. 어떤 대상의 성질이나 상태 따위를 인식하여 조사하는 일
검토	RVW	Review	N		Y	檢討. 어떤 사실이나 내용을 분석하여 따짐
검토서	EXPP	EXAMINATION PAPER	N		N	검토 결과를 담은 문서
검토자	RVWR	Reviewer	N		Y	檢討者. 어떤 사실이나 내용을 분석하여 따지는 사람
게시	PSTG	Posting	N		Y	揭示. 여러 사람에게 알리기 위하여 내붙이거나 내걸어 두루 보게 함. 또는 그런 물건
게시글	PDART	POSTED ARTICLE	N		N	게시판에 등록된 글
게시물	PST	Post	N		Y	揭示物. 여러 사람에게 알리기 위하여 내붙이거나 내걸어 두루 보게 한 물건이나 글
게시자	PBLR	Publisher	N		Y	揭示者. 여러 사람에게 알리기 위하여 내붙이거나 내걸어 두루 보게 한 사람
게시판	BBS	Bulletin Board System	N		Y	揭示板. 여러 사람에게 알릴 내용을 내붙이거나 내걸어 두루 보게 붙이는 판
결과	RSLT	Result	N		Y	結果. 열매를 맺음. 또는 그 열매
결의	RSLTN	Resolution	N		Y	決議. 의논하여 결정함. 또는 그런 결정
결재	ATRZ	Authorization	N		Y	決裁. 결정할 권한이 있는 상관이 부하가 제출한 안건을 검토하여 허가하거나 승인함
결재자	APRVR	Approver	N		Y	決裁者. 부하가 제출한 안건을 검토하여 허가하거나 승인하는 상관
결정	DCSN	Decision	N		Y	決定. 행동이나 태도를 분명하게 정함. 또는 그렇게 정해진 내용
결제	STLM	Settlement	N		Y	決濟. 증권 또는 대금을 주고받아 매매 당사자 사이의 거래 관계를 끝맺는 일
결혼	MRG	Marriage	N		Y	結婚. 남녀가 정식으로 부부 관계를 맺음
경광등	LTBR	LIGHT BAR	N		N	警光燈 긴급함을 알리기 위해 차의 위쪽에 다는 붉은빛을 발하는 등     예) 경광등IP,
경도	LOT	Longitude	Y	경도	Y	經度. 지구 위의 위치를 나타내는 좌표축 중에서 세로로 된 것. 한 지점의 경도는 그 지점
경력	CARR	CAREER	N		Y	經歷
 직업상의 경험과 그 근무연한.
경로	PATH	Path	N		Y	經路. 지나는 길
경위	CRCM	CIRCUMSTANCES	N		Y	經緯
 일이 진행되어 온 과정.
경유	THRG	THROUGH	N		Y	經由
 어떤 곳을 거쳐 지남.
경제	ECNM	ECONOMY	N		Y	經濟
 인간이 공동생활을 하는 데에 필요한 재화를 획득?이용하는 활동을 함,또는 이를 통하
계급	ECHLN	Echelon	N		Y	階級. 사회나 일정한 조직 내에서의 지위, 관직 따위의 단계
계기	CAUSE	Cause	N		N	어떤 일이 일어나거나 결정되도록 하는 원인이나 기회
계약	CTRT	Contract	N		Y	契約. 관련되는 사람이나 조직체 사이에서 서로 지켜야 할 의무에 대하여 글이나 말로 정하여
계열	SERS	SERIES	N		Y	서로 관련이 있거나 유사한 점에서 한 갈래로 이어지는 계통이나 조직.
계정	ACNT	Account	N		Y	計定. 부기(簿記)의 원장(原帳)에서 같은 종류나 동일 명칭의 자산, 부채, 자본, 수익,
계정과목	ACNTL	Account Title	N		Y	計定科目. 회계에서, 단위가 되는 각 계정의 명칭
계좌	BACNT	Bank Account	N		Y	計座. 금융 기관에 예금하려고 설정한 개인명이나 법인명의 계좌
계좌번호	ACTNO	Account Number	Y	계좌번호	Y	計座番號. 금융 기관 등에 예금하려고 설정한 개인명의나 법인명의 계좌에 부여하는 식별 번호
계좌이체	ACTRSF	Account Transfer	N		Y	計座移替. 한 계좌에 들어 있는 돈을 다른 계좌로 옮김
계층	LYR	Layer	N		Y	통신 프로토콜의 구조화를 위한 방법의 하나로, 통신을 위한 전반적인 소프트웨어 및 하드웨어
계획	PLAN	Plan	N		Y	計劃/計畫. 앞으로 할 일의 절차, 방법, 규모 따위를 미리 헤아려 작정함. 또는 그 내용
계획서	ACPL	ACTION PLAN	N		Y	계획한 내용을 담은 서류.
고객	CUST	Customer	N		Y	顧客. 상점 따위에 물건을 사러 오는 손님
고시	ANCMNT	Announcement	N		Y	告示. 글로 써서 게시하여 널리 알림. 주로 행정 기관에서 일반 국민들을 대상으로 어떤 내
고유	UNQ	Unique	N		Y	固有.본래부터 가지고 있는 특유한 것
고유번호	INNB	IDENTIFICATION NUMBER	Y		Y	固有番號
 부가가치세의 납세의무가 없는 자에 대하여 세적관리(稅籍管理) 및 원천징수업무 또
고유식별자	UID	UNIQUE IDENTIFIER	N		N	기록관리시스템에서 각각의 기록물과 분류체계를 구별할 수 있도록 부여한 고유한 이름. 기록물
고정	FIX	FIXING	N		N	고정된 형태의
고지	INFRM	Inform	N		Y	告知. 게시나 글을 통하여 알림
고착제	FXT	FIXATIVE	N		N	복원처리 시 잉크 또는 염료가 용제에 노출되었을 경우 움직이거나 변형되지 않도록 잉크 도는
공간	SPCE	SPACE	N		Y	空間
 아무것도 없이 비어 있는 칸. 물리적으로나 심리적으로 널리 퍼져 있는 범위
공개	RLS	Release	N		Y	公開. 어떤 사실이나 사물, 내용 따위를 여러 사람에게 널리 터놓음
공개구분	OTP	OPEN TYPE	N		N	공개여부를 분류하는 것. 공개, 부분공개, 또는 비공개 중 하나로 결정된다.
[「공공기록물
공개재분류	ORC	OPEN RECLASSIFICATION	N		N	기록물의 비공개 혹은 부분공개 여부를 재검토하는 것. 다만, 한번 공개된 것은 이미 비공개
공고	PBANC	Public Announcement	N		Y	公告. 국가 기관이나 공공 단체에서 일정한 사항을 일반 대중에게 광고, 게시, 또는 다른 
공공기관	PAGN	PUBLIC AGENCY	N		N	국가기관, 지방자치단체, 그 밖에 대통령령이 정하는 기관
[「공공기록물 관리에 관한 법률」
공급	SPLY	Supply	N		Y	供給. 요구나 필요에 따라 물품 따위를 제공함
공기조화설비	ACE	AIR CONDITIONING 
EQUIPMENT	N		N	실내공기를 쾌적한 상태로 유지하게 하는 장치로서 일정한 공간을 원하는  온도, 습도, 기류
공동	CLBN	Collaboration	N		N	共同 둘 이상의 사람이나 단체가 함께 일을 하거나, 같은 자격으로 관계를 가짐
공동주택	APTCPX	Apartment Complex	N		Y	共同住宅. 여러 가구가 한 건축물 안에서 각각 따로 생활을 할 수 있게 설계하여 지은 큰 
공모	CTST	CONTEST	N		N	공개 모집
공무원	PBSV	PUBLIC SERVANT	N		Y	公務員
 국가나 지방 공공 단체의 공무를 맡아보는 사람
[법률정의] (근로자재산형성저축공무
공문서	OFDC	OFFICIAL DOCUMENT	N		Y	公文書
 공공 기관이나 단체에서 공식으로 작성한 서류
[법률정의] (법원사무관리규칙) 각급
공부면적	PBRGAR	Public Register Area	Y	면적	Y	公簿面積. 등기부 등본, 토지 대장, 건축물대장 등 국가나 지방 자치 단체가 작성/비치하는
공사	CSTRN	Construction	N		Y	工事. 토목이나 건축 따위의 일
공시	PBLNT	Public Notice	N		Y	公示. 일정한 내용을 공개적으로 게시하여 일반에게 널리 알림. 또는 그렇게 알리는 글.
공시지가	OALP	Officially Announced Land Price	Y	가격	Y	公示地價. 국토교통부장관이 조사ㆍ평가하여 공개적으로 게시하여 알린 표준지의 단위 면적당 가
공식	OFCL	Officiality	N		N	公式 국가적이나 사회적으로 인정된 공적인 방식
공용면적	CMAR	Common Area	Y	면적	Y	共用面積. 임대 사무실이나 공동 주택 등 여러 사람이 사용하는 건물에서 공동으로 이용하는 
공원	PARK	Park	N		Y	公園. 국가나 지방 공공 단체가 공중의 보건ㆍ휴양ㆍ놀이 따위를 위하여 마련한 정원, 유원지
공유	SHR	SHARING	N		N	共有
두 사람 이상이 한 물건을 공동으로 소유함
공저자	CATH	CO-AUTHOR	N		N	한 책을 공동으로 지은 사람
공제	DDC	Deduction	N		Y	控除. 받을 몫에서 일정한 금액이나 수량을 뺌
공지	NTC	Notice	N		Y	公知. 세상에 널리 알림
공직자	GVOF	GOVERNMENT OFFICIAL	N		N	公職者
공무원, 국회 의원 따위의 공직에 종사하는 사람
공통	COMM	COMMONNESS	N		Y	共通
 여럿 사이에 두루 통용되거나 관계됨
과목	SBJCT	Subject	N		Y	科目. 가르치거나 배워야 할 지식 및 경험의 체계를 세분하여 계통을 세운 영역
과세	TXTN	Taxation	N		Y	課稅. 세금을 정하여 그것을 내도록 의무를 지움
과세표준	TXBS	Tax Base	N		Y	課稅標準. 과세의 기준이 되는 것
과오납금	OVPMNT	Overpayments	Y	금액	Y	過誤納金. 내야 할 세금보다 많이 납부하였거나 또는 실수나 착오로 잘못 낸 세금
과정	CRS	Course	N		Y	過程. 일이 되어 가는 경로
과제	ASMT	Assignment	N		Y	課題. 처리하거나 해결해야 할 문제
