단어명	영문약어	영문명	형식단어	도메인	표준여부	설명
발간	PBLC	PUBLICATION	N		Y	發刊
 책, 신문, 잡지 따위를 만들어 냄.
발급	ISSU	Issue	N		Y	發給. 증명서 따위를 발행하여 줌
발급자	ISPR	ISSUE PERSON	N		Y	발급을 담당한 자
발생	OCRN	Occurrence	N		Y	發生. 어떤 일이나 사물이 생겨남
발송	SNDNG	Sending	N		Y	發送. 물건, 편지, 서류 따위를 우편이나 운송 수단을 이용하여 보냄
발송자	SNDR	Sender	N		Y	發送者. 물건, 편지, 서류 따위를 부치거나 보낸 사람
발신	DSPTCH	Dispatch	N		Y	發信. 소식이나 우편 또는 전신을 보냄. 또는 그런 것
발신자	SNDPTY	Sending Party	N		Y	發信者. 소식이나 우편 또는 전신 따위를 보낸 사람
발의	PRPSL	Proposal	N		Y	發議. 회의에서, 심의할 의안(議案)을 내놓음
발표	PRSNTN	Presentation	N		Y	發表. 어떤 사실이나 결과, 작품 등을 세상에 널리 드러내어 알림
발표자	SPK	SPEAKER	N		N	어떤 사실이나 내용 따위를 널리 드러내어 알리는 일을 맡은 사람
발행	PBLCN	Publication	N		Y	發行. 출판물이나 인쇄물을 찍어서 세상에 펴냄
발행자	ISR	Issuer	N		Y	發行者. 출판물을 발행하는 사람 / 법이 정해 놓은 요건을 갖춘 어음이나 수표를 최초로 작
밝기	BRNS	BRIGHTNESS	N		N	화상에서 밝은 부분의 정도. 흑백 스캐닝에서는 그 정도를 분명히 표시하기 어렵다.
방문	VST	Visit	N		Y	訪問. 어떤 사람이나 장소를 찾아가서 만나거나 봄
방문자	VSTR	Visitor	N		Y	訪問者. 어떤 사람이나 장소를 찾아오는 사람
방법	MTHD	Method	N		Y	方法. 어떤 일을 해 나가거나 목적을 이루기 위하여 취하는 수단이나 방식
방식	WAY	WAY	N		N	方式
일정한 방법이나 형식
방지	PRVN	PREVENTION	N		Y	防止
 어떤 일이 일어나지 않도록 막음
배경	BCRN	BACKGROUND	N		Y	背景
 사건이나 환경을 둘러싼 주위의 정경
배달처	DLDTN	Delivery Destination	N		Y	配達處. 물건을 가져다가 몫몫으로 나누어 돌리는 곳, 또는 장소
배당	ALCTN	Allocation	N		Y	配當. 일정한 기준에 따라 나누어 줌
배부	DLRY	DELIVERY	N		Y	配付
 출판물이나 서류 따위를 나누어 줌.
배정	ALTMNT	Allotment	N		Y	配定. 몫을 나누어 정함
배치	DPOS	DISPOSITION	N		N	配置
 사람이나 물자 따위를 일정한 자리에 알맞게 나누어 둠.
배치율	DPRT	DISPOSITION RATE	Y		N	배치가 된 비율
배포	CRLTN	Circulation	N		Y	配布. 신문이나 책자 등을 널리 나누어 줌
백상지	WP	WOODFREE PAPER	N		N	白上紙 한국산업표준(KS M 7102)에서 정한 인쇄용지의 등급 중 특급 인쇄용지
버전	VER	VERSION	N		Y	어떤 소프트웨어가 몇 번 개정되었는지를 나타내는 번호
번호	NO	Number	Y	번호	Y	番號. 차례를 나타내거나 식별하기 위해 붙이는 숫자나 문자
범위	SCPE	SCOPE	N		Y	範圍
 테두리가 정하여진 구역. 어떤 것이 미치는 한계.
범주	CTGRY	Category	N		Y	範疇. 동일한 성질을 가진 부류나 범위
법	LAW	Law	N		Y	法. 국가의 강제력을 수반하는 사회 규범. 국가 및 공공 기관이 제정한 법률, 명령, 규칙
법령	LAOR	LAW AND ORDINANCES	N		Y	法令
 법률과 명령을 아울러 이르는 말
[법률정의] (법제업무운영규정) 법률?대통령령?총리
법원	CT	Court	N		Y	法院. 사법권을 행사하는 국가 기관
법인	CORP	Corporation	N		Y	法人. 자연인이 아니면서 법에 의하여 권리 능력이 부여 되는 사단과 재단
법인등록번호	CRNO	Corporation Registration Number	Y	법인등록번호	Y	法人登錄番號. 법인의 부동산등기용 등록번호로 법인의 설립등기(외국법인의 경우에는 국내에서 
법적	LGL	LEGAL	N		Y	법에 따른. 또는 그런 것.
법정	STTY	Statutory	N		Y	法定. 법률로 규정함
법정동	STDG	Statutory Dong(Administrative District)	N		Y	法定洞. 시 또는 구의 하위 행정구역으로 법률로 지정한 구역
법정리	STLI	Statutory Li(Administrative District)	N		Y	法定里. 촌락을 기준으로 한 일정한 명칭과 영역으로 법률로 지정한 구역
변경	CHG	Change	N		Y	變更. 다르게 바꾸어 새롭게 고침
변경사유	CHWH	CHANGE WHY	N		Y	變更事由
 변경을 시키는 이유
변경이력	CHHS	CHANGE HISTORY	N		Y	變更履歷
 과거로부터 어떤 정보를 변경한 내역
변경자	CHNRG	Changer	N		Y	變更者. 다르게 바꾸어 새롭게 고친 사람
변경전	BFCH	BEFORE CHANGE	N		Y	變更前
 바뀌기 이전
변경후	AFCH	AFTER CHANGE	N		Y	變更後
 바뀐 이후
변동	FLCTN	Fluctuation	N		Y	變動. 바뀌어 달라짐
변환	CNVR	CONVERSION	N		N	한 매체에서 또 다른 매체로 혹은 한 포맷에서 다른 포맷으로 기록을 바꾸는 처리과정
병상	SCKBD	Sickbed	N		Y	病牀. 병든 사람이 눕는 침상
병원	HSPTL	Hospital	N		Y	病院. 병자(病者)를 진찰, 치료하는 데에 필요한 설비를 갖추어 놓은 곳
보고	RPT	Report	N		Y	報告. 일에 관한 내용이나 결과를 말이나 글로 알림, 보고하는 글이나 문서
보고서	RPTP	Report Paper	N		Y	報告書. 보고하는 글이나 문서
보관	CSTD	CUSTODY	N		Y	保管
 물건 따위를 맡아서 관리함
[법률정의] (정부투자기관문서규정) 문서의 처리완결후부터
보관함	STBX	STORAGE BOX	N		N	保管函  물품을 간직하고 관리하기 위해 넣어 두는 곳
보내기	EXP	EXPORT	N		N	다른 컴퓨터 시스템에서 사용하기 위해 자신의 시스템 데이터 등을 끄집어내는 행위
[한국정보
보도	NSCVRG	News Coverage	N		Y	報道. 대중 매체로 새로운 소식을 알림. 또는 그 소식
보류	RSRV	RESERVATION	N		Y	保留
 어떤 일을 당장 처리하지 아니하고 나중으로 미루어 둠.
보안	SECU	Security	N		N	保安 안전을 유지함
보완	SPLMNT	Supplementation	N		Y	補完. 모자라거나 부족한 것을 보충하여 완전하게 함
보유	HOLD	HOLD	N		Y	保有
 가지고 있거나 간직하고 있음.
[법률정의] (공공기관의개인정보보호에관한법률) 개인정
보존	PRSR	PRESERVATION	N		Y	保存
 잘 지니어 상하거나 없어지거나 하지 않도록 함
[법률정의] (정부투자기관문서규정) 
보존매체	PRMD	PRESERVATION MEDIA	N		N	(영구기록물관리기관이) 전자기록물을 장기적으로 저장, 관리할 수 있는 디지털 정보 기억매체
보존소	RCAR	RECORD ARCHIVE	N		N	정부, 관공서 및 기타 조직체의 공문서와 사문서를 소장, 보관하는 문서관 또는 기록 보존소
보존처리	CSVT	CONSERVATION	N		N	훼손이 가속화되는 원본 기록물의 원형에 대해 지속되는 훼손과 열화를 감소 시키고 부작용 없
보증	GRNTE	Guarantee	N		Y	保證. 채무자가 채무를 이행하지 아니할 경우에, 채무자를 대신하여 채무를 이행할 것을 부담
보통	ODN	ORDINARY	N		N	평범함. 뛰어나지도 불쌍하지도 않음
보험	INSRNC	Insurance	N		Y	保險. 재해나 각종 사고 따위가 일어날 경우의 경제적 손해에 대비하여, 공통된 사고의 위협
보호	PROT	PROTECTION	N		Y	保護
 위험 따위로부터 약한 것을 잘 돌보아 지킴
보호자	PRTCR	Protector	N		Y	保護者. 어떤 사람을 보호할 책임이 있는 사람
복본	COPY	COPY	N		N	複本 원본을 그대로 베낀 서류     예) 복본구분코드
복원	RSTR	RESTORATION	N		N	훼손된 기록물을 원래 상태로 복구하기 위해 처리하는 과정
복제	RPRD	REPRODUCE	N		Y	複製
 본디의 것과 똑같이 만듦
[법률정의] (온라인디지털콘텐츠산업발전법) 온라인디지털콘텐
복제실	RPRM	REPLICATION ROOM	N		N	이중보존이나 전시 등에 활용하기 위하여 기록물을 복제하는 업무를 수행하는 장소
본관	MPP	MAIN PIPE	N		Y	本管
 원줄기의 관(管)을 지관(支管)에 상대하여 이르는 말
[법률정의] (도시가스사업법 
본문	BDT	BODY TEXT	N		Y	本文
 주요 내용을 이룬 부분의 글
본번	MNO	Main Number	Y	본번	Y	本番. 지번주소의 앞부분의 번호로, 단독으로 지번을 구성할 수 있는 번호
본사	HDOFC	Head Office	N		Y	本社. 주가 되는 회사를 지사(支社)에 상대하여 이르는 말
본적지	PRDM	PERMANENT DOMICILE	N		Y	本籍地
 호적이 있는 지역.
봉투	ENVL	ENVELOPE	N		Y	封套
 편지나 서류 따위를 넣기 위하여 종이 따위로 만든 주머니
부가가치세	VAT	Value Added Tax	N		Y	附加價値稅. 국세의 하나. 거래 단계별로 상품이나 용역에 새로 부가하는 가치에 대하여 매기
부과	LEVY	Levy	N		Y	賦課. 세금이나 부담금 등을 매기어 부담하게 함
부기	SPLMRC	Supplementary Record	N	내용	N	부가적인 또는 보충의 기록
부번	SNO	Sub Number	Y	부번	Y	附番. 지번주소에서 세부적인 영역을 표시하기 위해 지번주소 뒤에 줄표를 붙여 쓰는 번호
부분	PART	PART	N		Y	部分
 전체를 몇으로 나눈 것 중의 하나
부분공개	PDC	PARTIAL DISCLOSURE	N		N	공개 대상 정보와 비공개 대상 정보가 혼합되어 있는 경우,  정보공개 청구의 취지에 어긋나
부상자	INJPSN	Injured Person	N		Y	負傷者. 몸에 상처를 입은 사람
부서	DEPT	Department	N		Y	部署. 기관, 기업, 조직 따위에서 일이나 사업의 체계에 따라 나뉘어 있는, 사무의 각 부
부설	EXCSS	Excursus	N		N	부설 - 책 뒤에 붙인 여록
부속	ANX	Annex	N		Y	附屬. 주된 사물이나 기관에 딸려서 붙음. 또는 그렇게 딸려 붙은 사물.
부수	NOCP	NUMBER OF COPIES	Y		Y	部數
 책, 신문 따위의 출판물을 세는 단위인 부(部)의 수효.
부여	GRNT	Grant	N		Y	附與. 사람에게 권리/명예/임무 따위를 지니도록 해 주거나, 사물이나 일에 가치/의의 따위
부제목	SBTTL	Subtitle	Y	명	Y	副題目. 서적, 논문, 문예 작품 따위의 제목에 덧붙어 그것을 보충하는 제목
부처	GOVDEPT	Government Department	N		N	部處 정부 조직의 부와 처를 아울러 이르는 말
분	MNT	MINUTE	Y		Y	分
 한 시간의 60분의 1이 되는 동안을 세는 단위.
분류	CLSF	Classification	N		Y	分類. 종류에 따라서 가름
분배	DTRB	Distribution	N		N	分配 몫몫이 별러 나눔
분석	ANLS	Analysis	N		Y	分析. 얽혀 있거나 복잡한 것을 풀어서 개별적인 요소나 성질로 나눔
분야	FLD	Field	N		Y	分野. 여러 갈래로 나누어진 범위나 부분
분야A	RLMA	REALM A	N		N	예) 분야A
분야B	RLMB	REALM B	N		N	예) 분야B
분장	SEPFN	separation of functions	N		N	分掌 명사 일이나 임무를 나누어 맡아 처리함
분할	PRTTN	Partition	N		Y	分割. 나누어 쪼갬
불가	IMPR	IMPROPRIETY	N		Y	不可
 옳지 않음. 좋지 않음 할 수 없음. 되지 않음
불량	BADN	BADNESS	N		Y	不良
 물건 따위의 품질이나 상태가 나쁨.
불만족	NSF	NOT SATISFACTION	N		N	만족하지 못함
불일치	DCRD	DISCORD	N		N	不一致  의견이나 생각 따위가 서로 어긋나서 꼭 맞지 아니함
뷰어	VWR	VIEWER	N		N	워드, 아래한글, PDF 등 전자문서를 열어서 내용을 볼 수 있게 해주는 뷰어
블록	BLCK	Block	N		Y	Block. 시가지, 주거 지대 따위의 작은 단위들을 몇 개 합친 일정한 구획
비고	RMRK	Remarks	N		Y	備考. 문서 따위에서, 그 내용에 참고가 될 만한 사항을 보충하여 적는 것. 또는 그 사항
비공개	PRVT	Private	N		Y	非公開. 어떤 사실이나 사물, 내용 따위를 남에게 알리거나 보이지 아니함
비동의	DAGR	DISAGREEMENT	N		N	동의하지 않음
비디오	VID	VIDEO	N		Y	영상 신호를 다루는 장치나 회로
비밀	SRET	SECRET	N		Y	秘密
 남에게 보이거나 알려서는 안 되는 일의 내용
[법률정의] (보안업무규정) 그 내용이
비밀기록물	CREC	CLASSIFIED RECORDS	N		N	그 내용이 누설되는 경우 국가안전보장에 유해한 결과를 초래할 우려가 있는 국가기밀로서 보안
비밀번호	PSWD	Password	N		Y	秘密番號. 은행이나 컴퓨터 시스템 따위에서, 보안을 위하여 미리 약정하여 쓰는 개인 고유의
비상사태	SOE	STATE OF EMERGECY	N		N	즉각적인 대책을 요구하는 예상치 못한 사건
비상용	EUSE	Emergency Use	N		Y	非常用. 뜻밖의 긴급한 사태가 일어났을 때 씀. 또는 그런 물건
비율	RT	Rate	Y	비율	Y	比率.  다른 수나 양에 대한 어떤 수나 양의 비
비전자	NOELCT	NO ELECTRON	N		N	전자적인 형태가 아닌 정보처리능력을 갖지 않은 형태 또는 처리 방법
비정형	ATPCL	ATYPICAL	N		N	일정한 형태나 형식이 정하여지지 아니한 것
비채택어	UAWD	UNACCEPTED WORD	N		N	채택되지 않은 단어
비치	FRNS	FURNISHING	N		Y	備置
 마련하여 갖추어 둠.
비치기록물	FNPR	FURNISHING PUBLIC RECORDS	N		N	카드, 도면, 대장 등과 같이 주로 사람과 물품 또는 권리관계 등에 관한 사항의 관리나 확
비트심도	BITD	BIT DEPTH	N		N	비전자 문서에서 컬러(또는 회색의 음영)를 재현할 수 있는 컬러(또는 그레이 스케일 이미지
빈도	FQ	FREQUENCY	N		Y	頻度
 어떤 일이 되풀이되어 일어나는 정도
사건	INCDNT	Incident	N		Y	事件. 사회적으로 문제를 일으키거나 주목을 받을 만한 뜻밖의 일
사고	ACDNT	Accident	N		Y	事故. 뜻밖에 일어난 불행한 일. 사람에게 해를 입혔거나 말썽을 일으킨 나쁜 짓. 어떤 일
사료	HSMT	HISTORICAL MATERIAL	N		Y	史料
 역사 연구에 필요한 문헌이나 유물. 문서, 기록, 건축, 조각 따위를 이른다.
사망	DTH	Death	N		Y	死亡. 사람이 죽거나 생명을 잃음
사망자	DCSD	The Deceased	N		Y	死亡者. 죽은 사람
사무실	OFC	Office	N		Y	事務室. 사무를 보는 방
사본	MNSC	MANUSCRIPT	N		Y	寫本
 원본을 옮기어 베낌, 또는 그 베껴 놓은 문서나 책
사안	CSE	CASE	N		Y	事案
 법률적으로 문제가 되어 있는 일의 안건
[법률정의] (보안관찰법시행규칙) 보안관찰처
사업	BIZ	Business	N		Y	事業. 어떤 일을 일정한 목적과 계획을 가지고 짜임새 있게 지속적으로 경영함. 또는 그 일
사업비	PJTCO	Project Cost	N		Y	事業費. 일정한 사업을 하는 데 드는 비용
사업자	BZMN	Businessman	N		Y	事業者. 사업을 경영하는 사람
사업자등록번호	BRNO	Business Registration Number	Y	사업자등록번호	Y	事業者登錄番號. 사업자 등록을 할 때 국세청에서 전산시스템에 따라 자동으로 부여하는 번호
사업장	BPLC	Business Place	N		Y	事業場. 어떤 사업의 활동이 이루어지는 일정한 장소
사업체	BZENT	Business Enterprise	N		Y	事業體. 사업을 경영하는 한 기관으로서의 구성
사용	USE	Use	N		Y	使用. 일정한 목적이나 기능에 맞게 씀
사용기간	USPR	USAGE PERIOD	N		Y	使用期間
 사람이나 물건 등을 쓰거나 부리는 일정 시간
사용용도	USPP	USE PURPOSE	N		Y	使用用途
 쓰이는 곳이나 쓰는 법
사용자	USER	User	N		Y	使用者. 사람을 부리거나 물건을 쓰는 사람. 컴퓨터를 사용하는 사람
사유	RSN	Reason	Y	내용	Y	事由. 일의 까닭
사이징	SZG	SIZING	N		N	종이 가공 시 표면의 내수성을 향상시키기 위한 제조공정으로 물이나 잉크가 번지지 않도록 하
사이트	SITE	Site	N		Y	Site. 인터넷에서 사용자들이 정보가 필요할 때 언제든지 그것을 볼 수 있도록 웹 서버에
사전	PRE	PRE	N		N	事前 일이 일어나기 전
사진	PHOTO	Photograph	N		Y	寫眞. 물체의 형상을 감광막 위에 나타나도록 찍어 오랫동안 보존할 수 있게 만든 영상
사항	MTTR	Matter	Y	내용	Y	事項. 일의 항목이나 내용
사후관리	FLMN	FOLLOW-UP MANAGEMENT	N		Y	事後管理
 [법률정의] (정보통신기기 인증 규칙) 전기통신기본법 제36조제2항 및 전파법 
삭제	DEL	Deletion	N		Y	削除. 깎아 없애거나 지워 버림. 파일 내에 저장된 기록을 제거하거나 기억 장치에서 프로그
삭제사유	DTRN	DELETE REASON	N		Y	削除事由
 없앤 이유
삭제자	DLTR	DELETER	N		Y	削除者
 삭제한 사람 또는 조직
산	MTN	Mountain	N		Y	山. 평지보다 높이 솟아 있는 땅의 부분
산성화	ACID	ACIDIFICATION	N		N	재질이 산성으로 변화되는 현상
산전이	AMIG	ACID MIGRATION	N		N	기록물이 저장되거나 함께 묶였을 때 산성분이 산성 자료에서 산성분이 낮은 곳으로 이동하는 
산정	CMPTTN	Computation	N		Y	算定, 셈하여 정함.
산화	OXI	OXIDATION	N		N	원자로부터 전자를 잃는 반응. 협의로는 물질이 산소와 결합하는 것을 말하지만 일반적으로는 
상단	TOP	The Top, The upper shelf, The upper part	N		N	(선반 등의) the top, the upper shelf, the upper part[s
상담	DSCSN	Discussion	N		Y	相談. 문제를 해결하거나 궁금증을 풀기 위하여 서로 의논함
상대습도	RHM	RELATIVE-HUMIDITY	N		N	공기 중의 주어진 온도의 포화 수증기량에 대한 실제 수증기량의 비율을 퍼센트로 나타낸 것
상세	DTL	Details	N		Y	詳細. 낱낱이 자세함
상세유형	DTTY	DETAIL TYPE	N		Y	詳細類型
 자세한 종류
상세주소	DADDR	Detailed Address	Y	상세주소	Y	詳細住所. 건축물대장에 적혀 있는 동(棟)번호, 호(號)수 또는 층수
상신	RCMM	RECOMMENDATION	N		Y	상신(傷神)[명사][하다형 자동사]정신을 해침.
상위	UP	Upper	N		Y	上位. 높은 위치나 지위
상자	BOX	BOX	N		Y	箱子
 물건을 넣어 두기 위하여 나무, 대나무, 두꺼운 종이 같은 것으로 만든 네모난 그릇
상정	SBMS	SUBMISSION	N		Y	上程
 토의할 안건을 회의 석상에 내어 놓음.
상태	STTS	Status	N		Y	狀態. 사물ㆍ현상이 놓여 있는 모양이나 형편
상품	GDS	Goods	N		Y	商品. 사고파는 물품
상호	CONM	Company Name	Y	명	Y	商號. 상인이 영업 활동을 할 때에 자기를 표시하기 위하여 쓰는 이름
상환	RPMT	Repayment	N		Y	償還. 갚거나 돌려줌
새창	NPAG	New Page	N		Y	새로운 표시 화면상에서 나타나는 한 화면 분량의 데이터
색보정	CLB	CALIBRATION	N		N	입출력 시스템인 스캐너, 모니터, 프린터와 같은 장치들의 특성과 성질에 따라 색온도, 컬러
색상	COLOR	Color	N		N	色相 
색을 빨강, 노랑, 파랑 따위로 구분하게 하는, 색 자체가 갖는 고유의 특성
색인	INDX	INDEX	N		Y	索引
 책 속의 낱말이나 사항 등을 쉽게 찾아볼 수 있도록 일정한 순서로 배열해 놓은 목록
색인어	IWD	INDEX WORD	N		N	색인에 사용되는 단어
색채	CLOR	COLOR	N		Y	色彩
 어떤 사물이 지닌 경향이나 성질을 비유하여 이르는 말.
샘플	SMPL	SAMPLE	N		Y	전체 상품의 품질이나 상태 따위를 알아볼 수 있도록 미리 만들어 보이는 물건.
생년월일	BRDT	Birth Date	Y	연월일	Y	生年月日. 태어난 해와 달과 날
생략	OMS	OMISSION	N		Y	省略
 전체에서 일부를 줄이거나 뺌.
생산	PRDCTN	Production	N		Y	生産. 인간이 생활하는 데 필요한 각종 물건을 만들어 냄
생산기록물현황	PDPBRC	PRDC PBRC CRST	N		N	
생산기본목록	PDBS_LIST	PRDC BS LIST	N		N	
생산배부대장	PDLRYLIST	PRDC DLRY LIST	N		N	
생산시	PROD	PRODUCTION TIME	N		N	생산된 때, 생산된 시기
생산현황	PDST	PRDC RST	N		N	
생산현황관리	PDSTMNG	PRDC RST MNG	N		N	
생산현황서식구분	PDST_FOSE	PRODUCTION(생산) 
CURRENT STATUS(현황) 
FORM(서식) 
SECTION(구분)	N		N	
생산현황통계	PDSTTC	PDST STTC	N		N	
생성	CRT	Creation	N		Y	生成. 사물이 생겨남. 또는 사물이 생겨 이루어지게 함. 이전에 없었던 어떤 사물이나 성질
생성자	CREATR	Creator	N		Y	生成者. 사물이 생겨 이루어지게 한 사람
생일	BRTD	BIRTHDAY	Y		Y	生日 태어난 날, 탄생일
서가	BKSH	BOOKSHELF	N		Y	[書架]문서나 책 따위를 얹어 두거나 꽂아 두도록 만든 선반
서고	STK	STACKS	N		N	기록물을 보존하기에 적합한 시설과 설비를 구비한 장소
서류	DCMNT	Document	N		Y	書類. 글자로 기록한 문서를 통틀어 이르는 말
서버	SRVR	Server	N		Y	Server. 주된 정보의 제공이나 작업을 수행하는 컴퓨터 시스템
서비스	SRVC	Service	N		Y	생산된 재화를 운반ㆍ배급하거나 생산ㆍ소비에 필요한 노무를 제공함
서식	TMPLT	Template	N		Y	書式. 어떤 도식이나 서식에서 자주 사용되는 기본 골격
서열	ORD	Order	N		N	序列
 일정한 기준에 따라 순서대로 늘어섬. 또는 그 순서
선물	GIFT	GIFT	N		Y	膳物
 남에게 어떤 물건 따위를 선사함. 또는 그 물건.
[법률정의] (법원공무원의청렴유지
선정	SLCTN	Selection	N		Y	選定. 여럿 가운데서 어떤 것을 뽑아 정함
선택	CHC	Choice	N		Y	選擇. 여럿 가운데서 필요한 것을 골라 뽑음. 문제를 해결하기 위한 몇 가지 수단을 의식하
설계	DESIGN	Design	N		Y	設計. 건축ㆍ토목ㆍ기계 제작 등에서, 그 목적에 따라 실제적인 계획을 세워 도면 등으로 드
설계자	DSGNR	Designer	N		Y	設計者. 계획을 세운 사람. 또는 계획을 세워 만든 사람
설립	FNDN	Foundation	N		Y	設立. 기관이나 조직체 따위를 만들어 일으킴
설명	EXPLN	Explanation	Y	내용	Y	說明. 어떤 일이나 대상의 내용을 상대편이 잘 알 수 있도록 밝혀 말함. 또는 그런 말
설문	SRVY	Survey	N		Y	設問. 조사를 하거나 통계 자료 등을 얻기 위하여 어떤 주제에 대하여 문제를 내어 물음. 
설정	STNG	Setting	N		Y	設定. 새로 만들어 정해 둠
설치	INSTL	Installation	N		Y	設置. 어떤 일을 하는 데 필요한 기관이나 설비 따위를 베풀어 둠
성공	SCS	Success	N		Y	成功. 목적하는 바를 이룸
성명	FLNM	Full Name	Y	명	Y	姓名. 성과 이름을 아울러 이르는 말
세대	HH	Households	Y	수	Y	世帶. 현실적으로 주거 및 생계를 같이하는 사람의 집단
세대주	HSHLDR	Householder	N		Y	世帶主. 한 가구를 이끄는 주가 되는 사람
세로	VRTC	VERTICAL	N		Y	(좌우의 방향에 대하여) 아래위의 방향, 또는 그렇게 놓인 상태.
세목	TXITM	Tax Item	N		Y	稅目. 국민이 나라에 내는 조세의 종류별 명목
세미나	SEMINR	SEMINAR	N		N	전문인 등이 특정한 주제로 행하는 연수회나 강습회
세부	DETL	Detail	N		N	細部
 자세한 부분
세분류	DCLSF	Detailed Classification	N		Y	細分類. 이미 분류된 사물을 다시 한번 여러 갈래로 자세히 나누거나 가름. 또는 그런 것.
세션	SSSN	SESSION	N		Y	프로세스들 사이에서 통신을 하기 위해 메시지 교환을 통해 서로를 인식한 이후부터 통신을 마
세절	CHOP	CHOPPING	N		N	문서 등에 기록된 내용을 육안으로 판별할 수 없도록 파쇄기 등으로 잘게 자르는 행위
센터	CNTR	Center	N		Y	Center. 업무 따위를 이르는 말 뒤에 쓰여 그 일을 담당하는 곳을 나타내는 말
셀	CELL	CELL	N		N	예) 서고관리 - 셀일련번호, 셀(순)번호
셀룰로오스	CLLS	CELLULOSE	N		N	복합 탄수화물(complex carbohydrate)로 식물벽 세포의 주요구성물이며, 종이
소기능	SFCT	SMALL FUNCTION	N		Y	지방교육 기능별 분류체계의 5단계 분류
소독	SLR	STERILIZING	N		N	消毒 일반 병의 감염이나 전염을 예방하기 위하여 병원균을 죽이는 일
소독실	SLRM	STERILIZING ROOM	N		N	보존 중인 기록물에 대하여 미생물과 해충에 의하여 손상이 발생되지 않도록 소독처리 업무를 
소득	EARN	Earnings	N		Y	所得. 일한 결과로 얻은 정신적/물질적 이익
소득세	INCTX	Income Tax	Y	금액	Y	所得稅. 개인이 한 해 동안 벌어들인 돈에 대하여 액수별 기준에 따라 매기는 세금
소등	LOUT	LIGHTS OUT	N		N	消燈 등불을 끔
소멸	EXTSH	Extinguishment	N		Y	消滅. 사라져 없어짐
소분류	SCLSF	Small-Scale Classification	N		Y	小分類. 작게 나누어 가름
소속	OGDP	Organization/Department	N		Y	所屬. 일정한 단체나 기관에 딸림. 또는 그 딸린 곳
소요	REQ	Required	N		Y	所要. 필요로 하거나 요구되는 바
소유	PSN	Possession	N		Y	所有. 가지고 있음. 또는 그 물건
소유권	OWNSHP	Ownership	N		Y	所有權. 물건을 전면적ㆍ일반적으로 지배하는 권리
소유자	OWNR	Owner	N		Y	所有者. 어떤 것을 자기의 것으로 가지고 있는 자. 소유권을 가진 자
소장	OAK	OWN AND KEEPING	N		N	소유하여 간직함
소장처	HDPL	HOLDING PLACE	N		N	소장하고 있는 장소
소재지	LCTN	Location	N		Y	所在地. 주요 건물이나 기관 등이 자리 잡고 있는 곳
소집	CONV	CONVENE	N		N	召集
단체나 조직체의 구성원을 불러서 모음.
소켓	SOCK	SOCKET	N		N	어떤 통신망의 특정 노드상의 특정 서비스를 식별하는 식별자. 소켓은 노드 주소와 서비스를 
소프트웨어	SFTW	SOFTWARE	N		N	소프트웨어
속기사	STGP	STENOGRAPHER	N		Y	速記士
 속기를 직업으로 하는 사람.
속도	VE	VELOCITY	N		Y	速度
 물리에서, 움직이는 물체가 단위 시간에 이동한 거리.
속성	ATTR	ATTRIBUTE	N		Y	屬性 사물의 특징이나 성질. 데이터의 가장 작은 논리적 단위. 그 자체만으로는 중요한 의미
손망실	LOSS	LOSS	N		Y	損亡失
 축나거나 잃어버리거나 하여 손해를 봄, 또는 그 손해
송·수신모듈	TRMO	TRANSCEIVER MODULE	N		N	송신모듈과 수신모듈을 통칭하는 용어

비고 송신모듈은 업무시스템으로부터 전자기록물 전송요청
송수신	TARC	TRANSMIT AND RECEIVE	N		Y	送受信
 송신과 수신을 아울러 이르는 말.
송신	TRMT	TRANSMITION	N		Y	送信
 주로 전기적 수단을 이용하여 전신이나 전화, 라디오, 텔레비전 방송 따위의 신호를 
수	CNT	Count	Y	수	Y	數. 셀 수 있는 사물을 세어서 나타낸 값
수납	RCVMT	Receiving Money (or Thing)	N		Y	收納. 돈이나 물품을 받아들임
수납자	RCPN	Recipient	N		Y	收納者. 돈이나 물품을 받아들이는 사람
수량	QY	QUANTITY	Y		Y	數量
 비금전적인 수치의 값
수령	RECE	RECEIPT	N		N	受領
돈이나 물품을 받아들임
수령인	RECP	RECIPIENT	N		N	受領人
돈이나 물품을 받아들이는 사람.
수료	FNSH	Finish	N		Y	修了. 일정한 학과를 다 배워 끝냄
수리	RPR	Repair	N		Y	修理. 고장 나거나 허름한 데를 손보아 고침.
수선	REPR	REPAIRS	N		Y	물품의 하자등으로 본래의 기능을 갖도록 고치는 일
수수료	FEE	Fee	Y	요금	Y	手數料. 어떤 일을 맡아 처리해 준 데 대한 대가로서 주는 요금
수신	RCPTN	Reception	N		Y	受信. 우편이나 전보 따위의 통신을 받음
수신자	RCVR	Receiver	N		Y	受信者. 우편이나 전보 따위의 통신이나 유선 또는 무선 통신에서 신호를 받는 사람
수용	ACPT	Accept	N		N	受容 어떠한 것을 받아들임
수입	INCM	Income	N		Y	收入. 돈이나 물품 따위를 거두어들임. 또는 그 돈이나 물품
수입업체	IMPTR	Importer	N		Y	輸入業體. 다른 나라로부터 상품이나 기술 따위를 국내로 사들이는 업체
수정	MDFCN	Modification	N		Y	修正. 바로잡아 고침
수정자	MDFR	Modifier	N		Y	修正者. 바로 잡아 고친 사람
