x	y	text
673	47	행정업무참고기간구분
939	47	통계건수11
953	47	통계건수12
976	47	형태구분코드
1000	47	기본목록SID카운트
1017	47	통계건수11
1032	47	통계건수12
404	47	수집이관방법
431	47	이력관리여부
552	47	보존3년기록
598	47	보존6개월기록
470	47	최종수정자
484	47	최종수정일시
780	47	상위기능분류코드
858	47	작성일자
876	47	비고
247	47	종료년도
290	47	변경전시행일자
315	47	시스템구분
124	48	최초등록자ID
143	48	최초등록자ID
158	48	최초등록자ID
177	48	최초등록일시
193	48	최초등록자ID
108	48	생산년도
450	48	신조어등록일시
349	48	범위와내용TEXT
367	48	범위와내용TEXT
386	48	RANGE_CONTENT_CLOB
501	48	비공개연장기간
520	48	비공개연장기간
576	48	보존5년기록
625	48	최종수정일시
642	48	법적근거
656	48	삭제여부
714	48	통합기관코드
552	48	보존1년기록
598	48	비고
673	48	증빙자료유효기간구분
939	48	통계건수12
953	48	통계건수13
976	48	형태구분명
1000	48	평가분류일자(년월)
1017	48	통계건수12
1032	48	통계건수13
404	48	집중생산시기
431	48	전체기술분류ID
470	48	최종수정일시
780	48	기능분류체계
858	48	비고
876	48	최초등록자ID
124	49	최종수정일시
143	49	최종수정일시
158	49	최종수정일시
177	49	최초등록자ID
193	49	최종수정일시
247	49	보존기간
290	49	변경후시행일자
315	49	처리과코드
108	49	기록물철제목
450	49	최초등록자ID
349	49	범위와내용CLOB
367	49	범위와내용CLOB
386	49	EVAL_DISUSE_SCHE
501	49	생산기관의견
520	49	생산기관의견
576	49	보존3년기록
642	49	보존기간코드
656	49	법적근거
714	49	LITR_DIV_COD
673	49	관계법령의무기간
939	49	통계건수13
953	49	통계건수14
976	49	발간주기코드
1000	49	생산기관명
1017	49	통계건수13
1032	49	통계건수14
404	49	원본의존재와위치
431	49	전체기술분류명
552	49	비고
598	49	최초등록자ID
780	50	목적별단계
858	50	최초등록자ID
876	50	최초등록일시
247	50	보존방법
290	50	변경전수신자
315	50	생산시작년도
124	50	최종수정자ID
143	50	최종수정자ID
158	50	최종수정자ID
177	50	최종수정일시
193	50	최종수정자ID
108	50	보존기간만료일
450	50	최초등록일시
349	50	추가수집예상기록물
367	50	평가폐기처리일정정보_계열
386	50	FORECAST_ADD_DOC
501	50	문서번호
520	50	문서번호
576	50	보존1년기록
642	50	보존기간명
656	50	보존기간코드
714	50	KORGN_SCT_COD
552	51	최초등록자ID
598	51	최초등록일시
673	51	사료가치보존기간구분
939	51	통계건수14
953	51	통계건수15
976	51	발간주기명
1000	51	통계집계일시
1017	51	통계건수14
1032	51	통계건수15
431	51	최초등록자ID
780	51	목적분류코드
838	51	단위업무고유번호
858	51	최초등록일시
876	51	최종수정자ID
177	51	최종수정자ID
247	51	보존장소
290	51	변경후수신자
315	51	단위업무
812	51	소기능고유번호
108	51	폐기심사의견
450	51	최종수정자ID
222	52	접수년도
349	52	정리체계
367	52	추가수집예상기록물
386	52	ADJST_SYS
501	52	공개심의회필요여부
520	52	공개심의회필요여부
576	52	비고
642	52	공개분류코드
656	52	보존기간명
714	52	GGD_DIV_COD
673	52	보존기간종합판단구분
939	52	통계건수15
953	52	통계건수16
976	52	행정박물유형
1000	52	최초등록자ID
1017	52	통계건수15
1032	52	통계건수16
431	52	최초등록일시
552	52	최초등록일시
598	52	최종수정자ID
780	52	목적분류명
858	52	최종수정자ID
876	52	최종수정일시
247	52	비치종결일자
290	52	변경일자
315	52	기록물철등록일련번호
108	53	사유
450	53	최종수정일시
222	53	자료관코드
349	53	열람조건
367	53	정리체계
386	53	OPEN_CONDITION_OLD
501	53	심의회일시
520	53	심의회일시
576	53	최초등록자ID
642	53	비밀분류
656	53	공개분류코드
714	53	PSDNT_COD
552	53	최종수정자ID
598	53	최종수정일시
673	53	보존기간책정사유
838	53	소기능고유번호 (FK)
939	53	통계건수16
953	53	통계건수17
976	53	행정박물유형순서
1000	53	최종수정자ID
1017	53	통계건수16
1032	53	통계건수17
431	53	최종수정자ID
812	53	영역분류고유번호 (FK)
780	53	상위목적DIV코드
858	53	최종수정일시
247	54	비치사유
290	54	변경사유
315	54	권호수
108	54	폐기심의회심의결과
349	54	언어추가정보
367	54	열람조건
386	54	COPYRIGHT
501	54	심의회결과
520	54	심의회결과
576	54	최초등록일시
642	54	사용자열람범위
656	54	비밀분류
714	54	PSDNT_DOCDIV_COD
673	54	보존방법코드
838	54	보존기간코드
939	54	통계건수17
953	54	통계건수18
976	54	행정박물유형명
1017	54	통계건수17
1032	54	통계건수18
431	54	최종수정일시
552	54	최종수정일시
812	54	등록일
780	55	목적분류체계
222	55	생산기록물기관상태구분(RG057)
247	55	업무담당자
290	55	변경자명
315	55	기록물철 제목
108	55	폐기처분일
419	55	최초등록자
349	55	언어
367	55	저작권_계열
386	55	LANG_DIV
501	55	기록관리위원회상정필요여부
520	55	국가기록관리위원회
576	55	최종수정자ID
642	56	비치여부
656	56	사용자열람범위
714	56	GOVART_PAT_COD
673	56	보존장소코드
838	56	단위업무명
939	56	통계건수18
953	56	통계건수19
976	56	행정박물그룹순서
1017	56	통계건수18
1032	56	통계건수19
431	56	홈페이지서비스여부
812	56	등록자ID
780	56	보존기간생성일자
222	56	접수처시스템구분(RG053)
247	56	구기록물철분류번호
315	56	기록물형태
108	56	확인
419	56	최초등록일시
349	57	검색도구
367	57	언어
386	57	LANG_ETC
404	57	기본목록SID
469	57	공개범위평가기준코드
501	57	위원회상정일시
520	57	위원회상정일시
576	57	최종수정일시
642	57	비치만료일자
656	57	비치여부
714	57	GOVART_QUMAT_COD
673	57	비치기록물구분
838	57	단위업무설명
939	57	통계건수19
953	57	통계건수20
976	57	행정박물그룹
1017	57	통계건수19
1032	57	통계건수20
273	57	생산기본목록SID (FK)
431	57	홈페이지서비스수정자ID
812	57	소기능명
780	57	보존기간폐지일자
222	57	통보상태구분
247	57	신구기록물구분
315	57	생산종료년도
625	58	처리과코드
108	58	비고
199	58	접수년도 (FK)
419	58	최종수정자
349	58	비고
367	58	언어추가정보
386	58	SEARCH_TOOL
404	58	세부목록SID
501	58	위원회결과
520	58	위원회결과
642	58	비치만료사유
656	58	비치만료일자
714	58	비고
273	58	생산세부목록SID
484	58	재분류유형
673	58	비치기록물이관시기
838	58	등록일
939	58	통계건수20
953	58	통계건수21
976	58	원본매체
1017	58	통계건수20
1032	58	통계건수21
431	58	홈페이지서비스수정일시
780	59	보존기간책정일자
222	59	통보방법
469	59	공개범위등급
247	59	수정여부
315	59	보존기간
692	59	통합기록분류코드
108	59	최초등록일시
199	59	생산현황서식구분 (FK)
419	59	최종수정일시
349	59	최초등록자ID
367	59	검색도구
386	59	ORI_EXIST_POSITION
501	59	공개구분
520	59	공개구분
642	59	기간기록
656	59	비치만료사유
714	59	최초등록자ID
673	59	열람예상빈도구분
838	59	등록자ID
939	59	통계건수21
953	59	통계건수22
