한글명	영문명	도메인종수	총컬럼수	최빈도메인	최빈빈도	전체도메인분포	형식suffix	기대도메인
바이러스이력순번	virs_hstry_seq	2	3	NUMERIC(8)	2	NUMERIC(8)2 | NUMERIC(10)1		
사용자구분	user_se	2	3	STRING(1)	2	STRING(1)2 | CHAR(1)1		
근무여부	work_yn	2	3	STRING(1)	2	STRING(1)2 | CHAR(1)1	여부	STRING(1)/CHAR(1)
이관대상공동결재문서대장수	trnsf_trgt_clbn_atrz_doc_ldgr_cnt	2	3	NUMERIC(10)	2	NUMERIC(10)2 | NUMERIC(7)1		
파일구분코드	file_se_cd	2	3	STRING(1)	2	STRING(1)2 | STRING(10)1		
기록관의견	rctr_opnn	2	3	STRING(400)	2	STRING(400)2 | STRING(1000)1		
결과관리번호	rslt_mng_no	2	3	STRING(10)	2	STRING(10)2 | STRING(35)1	번호	STRING/NUMERIC
파일순번	file_seq	2	2	INTEGER(10)	1	INTEGER(10)1 | NUMERIC(6)1		
등록날짜	reg_date	2	2	DATETIME(23)	1	DATETIME(23)1 | STRING(8)1		
이관진행상태	trnsf_prgrs_stts	2	2	CHAR(2)	1	CHAR(2)1 | STRING(1)1		
생산처리과의견	prdctn_trdv_opnn	2	2	STRING(500)	1	STRING(500)1 | STRING(1000)1		
인수처리과명	acptn_trdv_nm	2	2	STRING(100)	1	STRING(100)1 | STRING(256)1		
상태구분코드	stts_se_cd	2	2	STRING(2)	1	STRING(2)1 | STRING(1)1		
처리과의견등록일자	trdv_opnn_reg_ymd	2	2	STRING(8)	1	STRING(8)1 | CHAR(8)1	일자	DATE/STRING(8)
기록물건총수	ritm_tcnt	2	2	NUMERIC(38)	1	NUMERIC(38)1 | NUMERIC(6)1		
인계사유	hndv_rsn	2	2	STRING(500)	1	STRING(500)1 | STRING(200)1		
기록물유형	pbrc_type	2	2	STRING(1)	1	STRING(1)1 | STRING(6)1		
편집사용자명	edit_user_nm	2	2	STRING(200)	1	STRING(200)1 | STRING(40)1		
이관접수오류내역	trnsf_rcpt_err_dsctn	2	2	STRING(4000)	1	STRING(4000)1 | STRING(500)1		
분할매체용량	prttn_md_cpct	2	2	NUMERIC(38)	1	NUMERIC(38)1 | NUMERIC(13)1		
발간주기	pblc_cycl	2	2	CHAR(2)	1	CHAR(2)1 | STRING(2)1		
업무유형	task_type	2	2	STRING(26)	1	STRING(26)1 | STRING(10)1		
오류메시지	err_msg	2	2	STRING(1073741823)	1	STRING(1073741823)1 | STRING(200)1		
인계기록물철수	hndv_fls_cnt	2	2	NUMERIC(8)	1	NUMERIC(8)1 | NUMERIC(10)1		
인계기록물건수	hndv_ritm_cnt	2	2	NUMERIC(8)	1	NUMERIC(8)1 | NUMERIC(10)1		
심의대상여부	dlbr_trgt_yn	2	2	STRING(1)	1	STRING(1)1 | STRING(35)1	여부	STRING(1)/CHAR(1)
결과메시지	rslt_msg	2	2	STRING(100)	1	STRING(100)1 | STRING(500)1		
전문요원의견	splst_opnn	2	2	STRING(500)	1	STRING(500)1 | STRING(300)1		
관리번호	mng_no	2	2	STRING(25)	1	STRING(25)1 | STRING(14)1	번호	STRING/NUMERIC
총용량	tcpct	2	2	NUMERIC(13)	1	NUMERIC(13)1 | NUMERIC(20)1		
결과코드	rslt_cd	2	2	STRING(5)	1	STRING(5)1 | STRING(1)1		
접수오류내역	rcpt_err_dsctn	2	2	STRING(4000)	1	STRING(4000)1 | STRING(1000)1		
국가기록원의견	nars_opnn	2	2	STRING(1000)	1	STRING(1000)1 | STRING(400)1		
