size	x	y	text
1.3	222	306	추출전이관첨부파일정보(RG)
1.3	389	307	구술기록 키워드
1.3	480	307	기록물저작권 추가내용(권리)
1.3	321	307	영구보존파일(SV)
1.3	594	307	관리세부일제강제연행자
1.3	1010	308	기록물건 삭제
1.3	733	309	시청각기록물엑셀저장요청내역
1.3	990	312	기록물위치상태변경이력
1.3	266	317	인수대장
1.3	198	317	이관파일목록 철단위(RG)
1.3	925	319	공무원구분(CM)
1.3	712	325	시청각기본추가(언어)(SV)
1.3	290	326	기록물철 이관 반려기록(RG)
1.3	159	327	온라인연계오류이력
1.3	177	327	온라인연계오류내역전송리스트
1.3	696	328	시청각기본추가(SV)
1.3	1009	330	기록물보존소변경이력
1.3	133	331	온라인연계오류내역
1.3	198	335	송수신 규격 XML 파일 DB
1.3	222	335	자료관생산부서정보(RG)
1.3	242	337	이관철건서비스제목일괄작업관리
1.3	879	337	사용자권한신청이력(SM)
1.3	899	337	사용자원문다운로드IP
1.3	916	337	사용자접속로그(SM)
1.3	931	337	사용자페이지접속이력
1.3	839	337	소속부서별 사용메뉴 EXCEL 다운용
1.3	712	338	시청각매체(SV)
1.3	375	339	복제M/F 이송입고내역
1.3	359	339	장기보존매체 이송/입고
1.3	390	339	이송/입고내역(SV)
1.3	410	340	상태정수점검 스케줄링
1.3	992	340	워터마크사용자IP내역
1.3	426	341	정수점검내역(SV)
1.3	223	347	자료관정보(RG)
1.3	265	348	대용량 송수신 모듈 첨부 파일 DB
1.3	1057	366	연동모듈환경(SM)
1.3	835	368	AMS백업파일(SM)
1.3	852	368	AMS백업목록(SM)
1.3	870	368	AMS테이블(SM)
1.3	886	368	AMS컬럼(SM)
1.3	1018	368	메타항목(SM)
1.3	926	371	SB_단위업무
1.3	906	372	CM_동적질의어
1.3	1036	372	세션별접속건수목록
1.3	945	374	SB_일반문서_기관코드
1.3	1003	375	메뉴접속수
1.3	970	377	SB_일반문서_자료관대기관코드
1.3	1033	386	아카이빙스토리지통계내역
1.3	974	388	통보내역(SV)
1.3	905	390	CM_동적질의어 이력
1.3	347	393	서고점검일지(SV)
1.3	561	395	작업스케줄링TIF(SV)
1.3	319	396	서가(SV)
1.3	469	398	OD복제마스터
1.3	334	398	서고(SV)
1.3	484	398	이미지서버(SV)
