size	x	y	font	text
1.2	639	223	Gulim	총독부지번
1.2	362	224	Gulim	순번
1.2	658	224	Gulim	세부목록
1.2	244	224	Gulim	열람범위
1.2	265	224	Gulim	부제목
1.2	617	224	Gulim	구분
1.2	244	225	Gulim	인수인계일자
1.2	265	225	Gulim	정정제목
1.2	617	226	Gulim	알레로키
1.2	513	226	Gulim	기록물구분
1.2	244	227	Gulim	바이러스검사여부
1.2	265	227	Gulim	부분공개사유
1.2	362	227	Gulim	첨부파일
1.2	244	228	Gulim	바이러스감염여부
1.2	265	228	Gulim	공개예정일시
1.2	244	229	Gulim	정리기술
1.2	265	229	Gulim	건내용정보
1.2	244	230	Gulim	분류체계구분코드
1.2	265	230	Gulim	매체포맷
1.2	244	232	Gulim	키워드
1.2	265	232	Gulim	저장매체
1.2	996	232	Gulim	전체기관명
1.2	244	233	Gulim	키워드
1.2	265	233	Gulim	본문첨부화일수
1.2	244	234	Gulim	시작일자
1.2	265	234	Gulim	보안분류코드
1.2	639	235	Gulim	원어명
1.2	416	235	Gulim	기록물형태
1.2	244	235	Gulim	종료일자
1.2	265	235	Gulim	보안분류사유
1.2	244	237	Gulim	부가번호
1.2	265	237	Gulim	원본사본여부
1.2	244	238	Gulim	구기록물보존기간
1.2	265	238	Gulim	정리기술
1.2	223	238	Gulim	이관기본목록
1.2	244	239	Gulim	보존처리설명
1.2	265	239	Gulim	키워드
1.2	244	241	Gulim	관리발생일자
1.2	265	241	Gulim	키워드
1.2	616	241	Gulim	기본목록
1.2	244	242	Gulim	보존기간재책정관리내용
1.2	265	242	Gulim	공개재분류관리내용
1.2	616	242	Gulim	세부목록
1.2	963	242	Gulim	외국명코드
1.2	513	243	Gulim	생산국가
1.2	416	243	Gulim	출판사
1.2	244	243	Gulim	훼손내용관리내용
1.2	265	243	Gulim	공개재분류관리발생일자
1.2	291	244	Gulim	이관첨부파일추출정보
1.2	513	244	Gulim	원어명
1.2	244	244	Gulim	최종수정일시
1.2	265	244	Gulim	최종수정일시
1.2	292	245	Gulim	이관첨부파일추출일련번호
1.2	244	246	Gulim	최종수정자
1.2	265	246	Gulim	최종수정자
1.2	977	246	Gulim	전체기관명
1.2	244	247	Gulim	철장기보존파일명
1.2	265	247	Gulim	건장기보존파일명
1.2	292	247	Gulim	이관기본목록
1.2	244	248	Gulim	이전이관기본목록
1.2	265	248	Gulim	목록라인번호
1.2	435	248	Gulim	발간등록번호
1.2	292	249	Gulim	이관세부목록
1.2	244	249	Gulim	생산기관별철순서번호
1.2	265	249	Gulim	검수담당자
1.2	292	250	Gulim	파일명
1.2	513	250	Gulim	대통령명
1.2	244	251	Gulim	접수오류
1.2	265	251	Gulim	검수담당자배정일
1.2	292	251	Gulim	첨부파일일련번호
1.2	244	252	Gulim	접수오류내역
1.2	265	252	Gulim	검수시작일
1.2	292	252	Gulim	문서관계
1.2	244	253	Gulim	이관철
1.2	265	253	Gulim	검수종료일
1.2	292	254	Gulim	메타정보획득여부
1.2	244	254	Gulim	검수담당자
1.2	265	254	Gulim	검수담당자배정해제일
1.2	292	255	Gulim	이관년도
1.2	244	256	Gulim	검수담당자배정일
1.2	265	256	Gulim	오류여부
1.2	292	256	Gulim	이관번호
1.2	244	257	Gulim	검수시작일
1.2	265	257	Gulim	치료불가바이러스포함컴포넌트수
1.2	292	257	Gulim	기관코드
